time,Energy_kwh,house_hold,temperature,windSpeed,precipType,icon,summary,holiday,bool_weather_missing_values,year,month,day,hour,dayofweek_num
2013-01-01 00:00:00,0.365,0,7.01,5.46,0,0,0,1,0,0,0,0,0,0
2013-01-01 01:00:00,0.396,0,7.49,5.51,0,0,0,0,0,0,0,0,1,0
2013-01-01 02:00:00,0.357,0,7.16,5.74,0,0,0,0,0,0,0,0,2,0
2013-01-01 03:00:00,0.313,0,7.04,4.98,0,0,0,0,0,0,0,0,3,0
2013-01-01 04:00:00,0.154,0,6.29,4.2,0,0,0,0,0,0,0,0,4,0
2013-01-01 05:00:00,0.147,0,6.2,4.37,0,0,0,0,0,0,0,0,5,0
2013-01-01 06:00:00,0.132,0,5.73,4.71,0,0,0,0,0,0,0,0,6,0
2013-01-01 07:00:00,0.189,0,5.04,5.22,0,0,0,0,0,0,0,0,7,0
2013-01-01 08:00:00,0.31,0,5.76,4.86,0,0,0,0,0,0,0,0,8,0
2013-01-01 09:00:00,0.42900000000000005,0,5.36,4.48,0,1,0,0,0,0,0,0,9,0
2013-01-01 10:00:00,0.276,0,5.22,4.03,0,1,0,0,0,0,0,0,10,0
2013-01-01 11:00:00,0.224,0,4.44,4.0,0,1,1,0,0,0,0,0,11,0
2013-01-01 12:00:00,0.5309999999999999,0,4.01,4.15,0,1,0,0,0,0,0,0,12,0
2013-01-01 13:00:00,1.104,0,3.94,3.8,0,1,1,0,0,0,0,0,13,0
2013-01-01 14:00:00,0.6020000000000001,0,3.37,3.25,0,1,0,0,0,0,0,0,14,0
2013-01-01 15:00:00,0.272,0,3.31,2.97,0,2,2,0,0,0,0,0,15,0
2013-01-01 16:00:00,0.361,0,3.34,3.37,0,0,0,0,0,0,0,0,16,0
2013-01-01 17:00:00,0.352,0,3.36,3.06,0,3,2,0,0,0,0,0,17,0
2013-01-01 18:00:00,0.46099999999999997,0,3.5,3.05,0,0,1,0,0,0,0,0,18,0
2013-01-01 19:00:00,0.29700000000000004,0,4.42,3.17,0,0,0,0,0,0,0,0,19,0
2013-01-01 20:00:00,0.29300000000000004,0,4.93,3.1,0,0,0,0,0,0,0,0,20,0
2013-01-01 21:00:00,0.28600000000000003,0,5.55,3.02,0,0,0,0,0,0,0,0,21,0
2013-01-01 22:00:00,0.28800000000000003,0,6.1,3.52,0,0,0,0,0,0,0,0,22,0
2013-01-01 23:00:00,0.317,0,6.77,3.4,0,0,1,0,0,0,0,0,23,0
2013-01-02 00:00:00,0.186,0,4.01,4.15,0,0,0,0,0,0,0,1,0,1
2013-01-02 01:00:00,0.184,0,3.94,3.8,0,0,1,0,0,0,0,1,1,1
2013-01-02 02:00:00,0.181,0,3.37,3.25,0,0,0,0,0,0,0,1,2,1
2013-01-02 03:00:00,0.18,0,3.31,2.97,0,3,2,0,0,0,0,1,3,1
2013-01-02 04:00:00,0.177,0,3.34,3.37,0,0,0,0,0,0,0,1,4,1
2013-01-02 05:00:00,0.176,0,3.36,3.06,0,3,2,0,0,0,0,1,5,1
2013-01-02 06:00:00,0.42000000000000004,0,3.5,3.05,0,0,1,0,0,0,0,1,6,1
2013-01-02 07:00:00,0.361,0,4.42,3.17,0,0,0,0,0,0,0,1,7,1
2013-01-02 08:00:00,0.318,0,4.93,3.1,0,0,0,0,0,0,0,1,8,1
2013-01-02 09:00:00,0.32,0,5.55,3.02,0,1,0,0,0,0,0,1,9,1
2013-01-02 10:00:00,0.28500000000000003,0,6.1,3.52,0,1,0,0,0,0,0,1,10,1
2013-01-02 11:00:00,0.201,0,6.77,3.4,0,1,1,0,0,0,0,1,11,1
2013-01-02 12:00:00,0.366,0,7.22,3.41,0,1,1,0,0,0,0,1,12,1
2013-01-02 13:00:00,0.276,0,7.58,4.0,0,1,1,0,0,0,0,1,13,1
2013-01-02 14:00:00,0.243,0,7.53,4.48,0,1,1,0,0,0,0,1,14,1
2013-01-02 15:00:00,0.41300000000000003,0,7.64,4.14,0,1,1,0,0,0,0,1,15,1
2013-01-02 16:00:00,0.278,0,8.17,4.04,0,0,1,0,0,0,0,1,16,1
2013-01-02 17:00:00,0.28500000000000003,0,8.78,4.52,0,0,1,0,0,0,0,1,17,1
2013-01-02 18:00:00,0.46699999999999997,0,9.42,4.85,0,0,1,0,0,0,0,1,18,1
2013-01-02 19:00:00,0.33099999999999996,0,9.86,4.74,0,0,1,0,0,0,0,1,19,1
2013-01-02 20:00:00,0.328,0,10.33,4.74,0,0,1,0,0,0,0,1,20,1
2013-01-02 21:00:00,0.41000000000000003,0,10.51,4.73,0,0,1,0,0,0,0,1,21,1
2013-01-02 22:00:00,0.45799999999999996,0,10.82,4.15,0,0,1,0,0,0,0,1,22,1
2013-01-02 23:00:00,0.289,0,10.77,4.11,0,0,0,0,0,0,0,1,23,1
2013-01-03 00:00:00,0.29,0,10.69,4.78,0,0,1,0,0,0,0,2,0,2
2013-01-03 01:00:00,0.373,0,10.31,4.18,0,0,0,0,0,0,0,2,1,2
2013-01-03 02:00:00,0.186,0,10.27,4.33,0,0,1,0,0,0,0,2,2,2
2013-01-03 03:00:00,0.183,0,10.28,4.27,0,0,1,0,0,0,0,2,3,2
2013-01-03 04:00:00,0.16799999999999998,0,10.19,3.95,0,0,1,0,0,0,0,2,4,2
2013-01-03 05:00:00,0.133,0,9.74,3.82,0,0,1,0,0,0,0,2,5,2
2013-01-03 06:00:00,0.128,0,9.72,4.81,0,0,0,0,0,0,0,2,6,2
2013-01-03 07:00:00,0.16599999999999998,0,9.65,5.21,0,0,1,0,0,0,0,2,7,2
2013-01-03 08:00:00,0.11499999999999999,0,9.73,4.94,0,0,1,0,0,0,0,2,8,2
2013-01-03 09:00:00,0.124,0,10.13,4.49,0,1,1,0,0,0,0,2,9,2
2013-01-03 10:00:00,0.257,0,10.26,4.6,0,1,0,0,0,0,0,2,10,2
2013-01-03 11:00:00,0.272,0,10.42,4.77,0,1,0,0,0,0,0,2,11,2
2013-01-03 12:00:00,0.651,0,10.92,4.02,0,1,0,0,0,0,0,2,12,2
2013-01-03 13:00:00,0.289,0,11.41,4.3,0,1,0,0,0,0,0,2,13,2
