House_Hold,MAE_pct,SMAPE_pct,RMSE_pct
ESTABLISHEDAFFLUENCE_BLOCK_19_MAC002250,-44.44,-48.84166666666667,-21.13
ESTABLISHEDAFFLUENCE_BLOCK_28_MAC004895,-38.83833333333333,-36.294999999999995,-39.90833333333333
STRETCHEDSOCIETY_BLOCK_94_MAC000838,-36.51166666666666,-30.18166666666667,-33.11166666666667
STRETCHEDSOCIETY_BLOCK_106_MAC000653,-34.626666666666665,-25.205,-41.85166666666667
ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004965,-30.951666666666668,-26.451666666666668,-22.985
ESTABLISHEDAFFLUENCE_BLOCK_10_MAC002036,-30.668,-23.844,-21.74
STRETCHEDSOCIETY_BLOCK_97_MAC001314,-23.345,-44.373333333333335,-24.625
STRETCHEDSOCIETY_BLOCK_107_MAC001673,-22.665000000000003,-19.175,-10.686666666666667
ESTABLISHEDAFFLUENCE_BLOCK_18_MAC005491,-22.38,-16.566666666666666,-25.125
STRETCHEDSOCIETY_BLOCK_103_MAC004513,-20.369999999999997,-23.433999999999997,-19.23
ESTABLISHEDAFFLUENCE_BLOCK_22_MAC004694,-19.091666666666665,-27.47666666666667,-17.616666666666667
STRETCHEDSOCIETY_BLOCK_107_MAC001744,-17.01,-12.498333333333335,0.08999999999999986
STRETCHEDSOCIETY_BLOCK_100_MAC003020,-16.45,-18.77,1.3083333333333333
STRETCHEDSOCIETY_BLOCK_105_MAC002054,-15.736666666666665,-12.648333333333333,-10.48
ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001905,-15.395000000000001,-11.325000000000001,-14.211666666666668
STRETCHEDSOCIETY_BLOCK_99_MAC004745,-14.393333333333333,-11.258333333333333,-6.109999999999999
STRETCHEDSOCIETY_BLOCK_98_MAC004934,-14.33,-12.903333333333334,-10.35
ESTABLISHEDAFFLUENCE_BLOCK_25_MAC004233,-14.211666666666666,2.0316666666666663,-3.6449999999999996
STRETCHEDSOCIETY_BLOCK_106_MAC000077,-13.0,-12.313333333333333,-5.308333333333334
ESTABLISHEDAFFLUENCE_BLOCK_22_MAC004736,-12.5,-13.823333333333332,-11.906666666666666
STRETCHEDSOCIETY_BLOCK_97_MAC001041,-11.379999999999999,-8.774,-12.782
ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,-10.778333333333334,-18.371666666666666,-10.696666666666665
STRETCHEDSOCIETY_BLOCK_100_MAC002824,-10.1675,3.6574999999999998,-19.712500000000002
ESTABLISHEDAFFLUENCE_BLOCK_19_MAC005426,-9.751666666666667,-8.62,-10.735
STRETCHEDSOCIETY_BLOCK_100_MAC002775,-9.451666666666666,-13.495,-4.3183333333333325
ESTABLISHEDAFFLUENCE_BLOCK_14_MAC002635,-9.346666666666666,-8.461666666666666,-5.396666666666666
STRETCHEDSOCIETY_BLOCK_109_MAC005547,-9.13,-10.58,-12.118333333333332
STRETCHEDSOCIETY_BLOCK_95_MAC000365,-9.034,-6.481999999999999,-9.41
STRETCHEDSOCIETY_BLOCK_104_MAC004395,-8.922,-8.786,-6.774000000000001
STRETCHEDSOCIETY_BLOCK_96_MAC001243,-8.541666666666666,-10.755,-2.645
STRETCHEDSOCIETY_BLOCK_105_MAC002128,-7.578333333333333,-1.365,-10.713333333333333
ESTABLISHEDAFFLUENCE_BLOCK_12_MAC002752,-7.3066666666666675,-2.3166666666666664,-15.056666666666667
STRETCHEDSOCIETY_BLOCK_95_MAC004066,-6.880000000000001,-6.485,-6.525
ESTABLISHEDAFFLUENCE_BLOCK_35_MAC001111,-6.789999999999999,-11.0175,-1.1375000000000002
STRETCHEDSOCIETY_BLOCK_98_MAC004892,-6.0683333333333325,-5.876666666666666,-3.8833333333333333
ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001651,-6.0,-8.018,-0.11399999999999988
ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004531,-5.8549999999999995,-6.473333333333334,0.9399999999999996
ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,-5.746666666666666,-4.915,-3.6366666666666667
ESTABLISHEDAFFLUENCE_BLOCK_27_MAC005235,-4.946666666666666,-1.5650000000000002,-5.9816666666666665
ESTABLISHEDAFFLUENCE_BLOCK_40_MAC000459,-4.728333333333333,-4.916666666666667,-4.516666666666667
STRETCHEDSOCIETY_BLOCK_110_MAC002175,-4.511666666666667,0.3100000000000005,-7.19
STRETCHEDSOCIETY_BLOCK_95_MAC000006,-4.505,-5.823333333333333,-0.7966666666666667
STRETCHEDSOCIETY_BLOCK_100_MAC002856,-4.256666666666667,-9.985000000000001,3.268333333333333
STRETCHEDSOCIETY_BLOCK_102_MAC004129,-4.2250000000000005,-4.058333333333333,-7.843333333333334
STRETCHEDSOCIETY_BLOCK_91_MAC001165,-3.714,-0.466,-2.534
STRETCHEDSOCIETY_BLOCK_102_MAC003980,-3.6799999999999997,-11.492,-3.076
ESTABLISHEDAFFLUENCE_BLOCK_30_MAC000274,-3.5200000000000005,-2.3960000000000004,-2.456
ESTABLISHEDAFFLUENCE_BLOCK_28_MAC004904,-3.332,-1.6200000000000003,-3.0300000000000002
STRETCHEDSOCIETY_BLOCK_102_MAC003964,-3.015,-2.4583333333333335,5.138333333333333
ESTABLISHEDAFFLUENCE_BLOCK_23_MAC000164,-2.8083333333333336,-5.09,-2.2066666666666666
ESTABLISHEDAFFLUENCE_BLOCK_32_MAC001433,-2.6583333333333337,-4.94,-3.403333333333333
STRETCHEDSOCIETY_BLOCK_98_MAC004064,-2.5933333333333333,-3.3216666666666668,0.7016666666666667
ESTABLISHEDAFFLUENCE_BLOCK_10_MAC001402,-2.585,-1.9133333333333333,0.535
ESTABLISHEDAFFLUENCE_BLOCK_30_MAC003114,-2.5833333333333335,-2.8833333333333333,-1.4100000000000001
STRETCHEDSOCIETY_BLOCK_97_MAC000696,-1.9616666666666667,-2.5516666666666667,-0.19999999999999996
STRETCHEDSOCIETY_BLOCK_106_MAC002318,-1.45,-0.5333333333333333,-8.333333333333332
ESTABLISHEDAFFLUENCE_BLOCK_19_MAC005566,-1.3319999999999996,-3.0279999999999996,0.7579999999999999
STRETCHEDSOCIETY_BLOCK_102_MAC003996,-1.2333333333333334,-0.23000000000000007,-2.5349999999999997
ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,-1.1666666666666667,-1.751666666666667,-0.6266666666666666
STRETCHEDSOCIETY_BLOCK_106_MAC001460,-1.1500000000000001,-0.5083333333333333,-0.37833333333333335
STRETCHEDSOCIETY_BLOCK_109_MAC002196,-0.98,-4.663333333333333,-1.68
STRETCHEDSOCIETY_BLOCK_100_MAC002898,-0.9049999999999999,-2.1983333333333337,-3.2883333333333336
ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,-0.8650000000000001,0.5966666666666669,-3.0416666666666665
ESTABLISHEDAFFLUENCE_BLOCK_31_MAC001378,-0.7516666666666666,3.5533333333333332,-4.68
STRETCHEDSOCIETY_BLOCK_109_MAC000529,-0.6533333333333333,0.685,-1.9916666666666665
STRETCHEDSOCIETY_BLOCK_108_MAC005528,-0.2133333333333333,-0.046666666666666724,0.32
STRETCHEDSOCIETY_BLOCK_107_MAC001785,0.33666666666666667,2.2433333333333336,-2.6633333333333336
ESTABLISHEDAFFLUENCE_BLOCK_10_MAC001221,0.4166666666666668,-0.30999999999999983,-1.5100000000000005
STRETCHEDSOCIETY_BLOCK_94_MAC004366,0.4283333333333335,-1.3566666666666667,-9.091666666666667
STRETCHEDSOCIETY_BLOCK_93_MAC000449,0.6533333333333332,-4.4366666666666665,-2.083333333333333
STRETCHEDSOCIETY_BLOCK_104_MAC004481,0.6666666666666666,1.0050000000000001,-0.06999999999999999
ESTABLISHEDAFFLUENCE_BLOCK_34_MAC002265,0.7966666666666663,1.7500000000000002,-2.2466666666666666
ESTABLISHEDAFFLUENCE_BLOCK_28_MAC005217,1.1666666666666667,-7.613333333333333,1.1216666666666664
ESTABLISHEDAFFLUENCE_BLOCK_16_MAC002096,1.3333333333333333,-0.08333333333333333,-1.3666666666666665
ESTABLISHEDAFFLUENCE_BLOCK_32_MAC002686,1.45,2.8216666666666668,-2.5383333333333336
STRETCHEDSOCIETY_BLOCK_107_MAC001672,1.4799999999999998,6.351666666666667,4.451666666666666
ESTABLISHEDAFFLUENCE_BLOCK_37_MAC000861,1.6833333333333336,3.6683333333333343,7.668333333333333
ESTABLISHEDAFFLUENCE_BLOCK_34_MAC001452,2.518333333333333,4.518333333333333,-0.48833333333333334
ESTABLISHEDAFFLUENCE_BLOCK_33_MAC002099,3.2416666666666667,7.415,-0.9466666666666668
ESTABLISHEDAFFLUENCE_BLOCK_40_MAC005359,4.191666666666666,9.703333333333333,2.1683333333333334
ESTABLISHEDAFFLUENCE_BLOCK_33_MAC000351,4.239999999999999,5.945,-0.8450000000000001
STRETCHEDSOCIETY_BLOCK_96_MAC001188,6.603333333333334,1.7683333333333333,5.008333333333334
ESTABLISHEDAFFLUENCE_BLOCK_27_MAC003016,10.24,8.015,13.128333333333336
ESTABLISHEDAFFLUENCE_BLOCK_11_MAC001980,11.11,16.435,5.856666666666666
STRETCHEDSOCIETY_BLOCK_99_MAC004771,11.508333333333333,-5.433333333333334,18.428333333333335
