,House_Hold,MAE,MAPE,SMAPE,RMSE,Time_execution,Model_covariates,MAE_variation,SMAPE_variation,RMSE_variation,MAE_pct,SMAPE_pct,RMSE_pct
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.071,1144529.4,1.05,0.15,338.61s,dayofweek_num,0.000999999999999987,0.02200000000000002,0.0,1.43,2.14,0.0
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.056,608943.44,0.971,0.132,333.01s,hour,-0.014000000000000005,-0.05700000000000005,-0.017999999999999988,-20.0,-5.54,-12.0
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,1083918.5,1.032,0.15,320.20s,holiday,0.0,0.0040000000000000036,0.0,0.0,0.39,0.0
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,1214319.5,1.032,0.149,321.04s,month,0.0,0.0040000000000000036,-0.0010000000000000009,0.0,0.39,-0.67
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,1125292.2,1.028,0.15,331.50s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,1084862.4,1.031,0.15,325.72s,bool_weather_missing_values,0.0,0.0029999999999998916,0.0,0.0,0.29,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,264798.44,0.834,0.054,364.78s,dayofweek_num,0.0,0.0,-0.0010000000000000009,0.0,0.0,-1.82
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.019,620989.9,0.556,0.046,786.53s,hour,-0.010000000000000002,-0.2779999999999999,-0.009000000000000001,-34.48,-33.33,-16.36
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,240373.92,0.845,0.055,360.10s,holiday,0.0,0.01100000000000001,0.0,0.0,1.32,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,230022.69,0.838,0.054,553.02s,precipType,0.0,0.0040000000000000036,-0.0010000000000000009,0.0,0.48,-1.82
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,253033.05,0.84,0.054,327.15s,month,0.0,0.006000000000000005,-0.0010000000000000009,0.0,0.72,-1.82
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,233670.53,0.834,0.055,550.23s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,239086.55,0.845,0.055,357.84s,bool_weather_missing_values,0.0,0.01100000000000001,0.0,0.0,1.32,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.224,0.485,0.367,0.299,366.94s,dayofweek_num,0.023999999999999994,0.033999999999999975,0.006000000000000005,12.0,10.21,2.05
