time_idx,Real,predict
9985,0.082,0.186
9986,0.065,0.199
9987,0.142,0.215
9988,0.165,0.23
9989,0.085,0.244
9990,0.292,0.255
9991,1.678,0.264
9992,1.052,0.271
9993,1.847,0.276
9994,0.915,0.28
9995,0.362,0.282
9996,0.325,0.284
9997,0.32,0.284
9998,0.171,0.285
9999,0.166,0.285
10000,0.239,0.285
10001,0.214,0.285
10002,0.139,0.284
10003,1.283,0.284
10004,3.015,0.284
10005,1.211,0.284
10006,0.748,0.284
10007,0.24,0.284
10008,0.1,0.283
10009,0.096,0.283
10010,0.099,0.283
10011,0.143,0.283
10012,0.189,0.283
10013,0.164,0.283
10014,0.111,0.283
10015,0.214,0.283
10016,0.222,0.283
10017,0.42,0.283
10018,1.257,0.283
10019,0.986,0.283
10020,0.709,0.283
10021,0.211,0.283
10022,0.095,0.283
10023,0.092,0.283
10024,0.249,0.283
10025,0.323,0.283
10026,0.237,0.283
10027,0.777,0.283
10028,1.63,0.283
10029,1.0,0.283
10030,1.032,0.283
10031,0.495,0.283
10032,0.254,0.283
10033,0.082,0.283
10034,0.066,0.283
10035,0.071,0.283
10036,0.123,0.283
10037,0.166,0.283
10038,0.129,0.283
10039,0.18,0.283
10040,0.201,0.283
10041,0.38,0.283
10042,1.337,0.283
10043,0.592,0.282
10044,0.403,0.282
10045,0.982,0.282
10046,1.752,0.282
10047,1.522,0.282
10048,0.97,0.282
10049,0.881,0.282
10050,0.453,0.282
10051,0.16,0.282
10052,0.131,0.282
10053,0.175,0.282
10054,0.554,0.282
10055,0.254,0.282
10056,0.166,0.282
10057,0.326,0.282
10058,0.111,0.282
10059,0.072,0.282
10060,0.071,0.282
10061,0.151,0.282
10062,0.167,0.282
10063,0.705,0.282
10064,0.977,0.282
10065,0.808,0.282
10066,0.371,0.282
10067,0.164,0.282
10068,0.162,0.282
10069,0.131,0.282
10070,1.294,0.282
10071,1.837,0.282
10072,1.392,0.282
10073,0.561,0.282
10074,0.531,0.282
10075,1.634,0.282
10076,2.738,0.282
10077,1.119,0.282
10078,0.346,0.282
10079,0.182,0.282
10080,0.071,0.282
10081,0.069,0.282
10082,0.124,0.282
10083,0.168,0.281
10084,0.146,0.281
10085,0.066,0.281
10086,0.068,0.281
10087,0.839,0.281
10088,1.201,0.281
10089,1.136,0.281
10090,1.009,0.281
10091,0.233,0.281
10092,0.068,0.281
10093,0.069,0.281
10094,0.987,0.281
10095,1.437,0.281
10096,0.981,0.281
10097,0.742,0.281
10098,1.567,0.281
10099,2.55,0.281
10100,2.051,0.281
10101,0.78,0.281
10102,1.206,0.281
10103,0.906,0.281
10104,0.166,0.281
10105,0.173,0.281
10106,0.106,0.281
10107,0.071,0.281
10108,0.08,0.281
10109,0.17,0.281
10110,0.131,0.281
10111,0.979,0.281
10112,1.176,0.281
10113,1.206,0.281
10114,0.661,0.281
10115,0.248,0.281
10116,0.064,0.281
10117,0.635,0.281
10118,0.808,0.281
10119,1.65,0.281
10120,1.552,0.281
10121,1.151,0.281
10122,0.979,0.281
10123,0.686,0.28
10124,1.631,0.28
10125,0.888,0.28
10126,0.701,0.28
10127,0.221,0.28
10128,0.086,0.28
10129,0.174,0.28
10130,0.136,0.28
10131,0.069,0.28
10132,0.068,0.28
10133,0.104,0.28
10134,0.169,0.28
10135,0.734,0.28
10136,0.787,0.28
10137,1.318,0.28
10138,1.673,0.28
10139,2.239,0.28
10140,1.924,0.28
10141,1.391,0.28
10142,0.787,0.28
10143,0.373,0.28
10144,0.566,0.28
10145,0.764,0.28
10146,0.174,0.28
10147,0.851,0.28
10148,1.979,0.28
10149,1.22,0.28
10150,1.125,0.28
10151,0.283,0.28
10152,0.04,0.28
