time_idx,Real,predict
9985,0.372,0.403
9986,0.297,0.407
9987,0.299,0.393
9988,0.298,0.355
9989,0.324,0.48
9990,0.775,0.805
9991,0.762,0.813
9992,0.763,0.839
9993,0.851,0.842
9994,0.787,0.83
9995,0.695,0.814
9996,1.063,0.805
9997,1.014,0.805
9998,0.751,0.81
9999,0.848,0.817
10000,0.488,0.824
10001,1.249,0.834
10002,1.046,0.846
10003,1.19,0.859
10004,0.85,0.869
10005,0.882,0.87
10006,0.668,0.855
10007,0.528,0.823
10008,0.495,0.774
10009,0.402,0.716
10010,0.723,0.659
10011,0.312,0.613
10012,0.328,0.585
10013,0.275,0.579
10014,0.345,0.606
10015,0.414,0.719
10016,0.803,0.872
10017,1.326,0.888
10018,1.115,0.829
10019,0.915,0.715
10020,0.835,0.607
10021,0.513,0.552
10022,0.45,0.553
10023,0.898,0.575
10024,0.426,0.578
10025,0.483,0.55
10026,0.843,0.539
10027,1.573,0.679
10028,0.732,0.867
10029,0.954,0.879
10030,1.048,0.825
10031,1.414,0.729
10032,1.32,0.64
10033,0.801,0.589
10034,0.758,0.581
10035,0.548,0.6
10036,0.421,0.61
10037,0.308,0.579
10038,0.357,0.538
10039,0.37,0.594
10040,0.339,0.791
10041,0.749,0.867
10042,0.862,0.841
10043,1.0,0.749
10044,0.991,0.634
10045,1.294,0.546
10046,3.033,0.513
10047,1.981,0.517
10048,1.845,0.503
10049,1.097,0.459
10050,1.106,0.422
10051,0.965,0.559
10052,0.911,0.845
10053,0.873,0.851
10054,1.107,0.858
10055,0.957,0.833
10056,0.967,0.788
10057,0.765,0.746
10058,0.865,0.713
10059,0.682,0.685
10060,0.627,0.66
10061,0.474,0.641
10062,0.888,0.634
10063,0.76,0.641
10064,0.906,0.671
10065,0.509,0.763
10066,1.028,0.864
10067,0.582,0.865
10068,1.135,0.776
10069,1.632,0.617
10070,0.795,0.454
10071,0.776,0.376
10072,0.609,0.357
10073,0.806,0.333
10074,1.871,0.312
10075,2.021,0.36
10076,1.431,0.679
10077,1.046,0.816
10078,0.907,0.816
10079,0.827,0.826
10080,0.707,0.826
10081,0.775,0.822
10082,0.509,0.822
10083,0.441,0.833
10084,0.429,0.855
10085,0.44,0.882
10086,1.015,0.908
10087,1.819,0.928
10088,0.981,0.939
10089,0.83,0.94
10090,0.682,0.932
10091,0.639,0.915
10092,0.606,0.894
10093,0.514,0.871
10094,0.48,0.852
10095,0.663,0.837
10096,0.518,0.831
10097,0.741,0.834
10098,0.752,0.845
10099,0.876,0.86
10100,0.906,0.871
10101,0.739,0.866
10102,0.778,0.836
10103,0.931,0.782
10104,0.576,0.714
10105,0.565,0.647
10106,0.534,0.589
10107,0.517,0.54
10108,0.425,0.491
10109,0.423,0.463
10110,0.813,0.508
10111,0.786,0.764
10112,0.837,0.874
10113,0.743,0.897
10114,0.782,0.893
10115,0.693,0.85
10116,1.316,0.797
10117,0.855,0.765
10118,0.838,0.758
10119,0.847,0.77
10120,0.549,0.796
10121,0.631,0.842
10122,0.758,0.907
10123,1.57,0.973
10124,1.229,0.998
10125,2.202,0.947
10126,0.654,0.833
10127,0.654,0.715
10128,0.856,0.638
10129,0.437,0.615
10130,0.288,0.617
10131,0.3,0.608
10132,0.385,0.574
10133,0.416,0.577
10134,0.533,0.744
10135,0.836,0.894
10136,0.91,0.895
10137,0.666,0.83
10138,0.889,0.732
10139,0.869,0.657
10140,0.823,0.627
10141,0.821,0.636
10142,0.612,0.675
10143,0.46,0.724
10144,0.748,0.749
10145,0.686,0.755
10146,2.243,0.788
10147,0.831,0.795
10148,0.846,0.748
10149,1.009,0.713
10150,0.935,0.721
10151,0.727,0.756
10152,0.329,0.805
