time_idx,Real,predict
9985,0.131,0.132
9986,0.097,0.089
9987,0.093,0.09
9988,0.089,0.094
9989,0.087,0.093
9990,0.127,0.105
9991,0.178,0.14
9992,0.183,0.191
9993,0.201,0.155
9994,0.446,0.189
9995,0.438,0.441
9996,0.661,0.492
9997,0.579,0.456
9998,0.522,0.441
9999,0.559,0.453
10000,0.557,0.497
10001,0.575,0.523
10002,0.72,0.624
10003,0.327,0.63
10004,0.44,0.514
10005,0.731,0.553
10006,0.702,0.566
10007,0.35,0.457
10008,0.275,0.337
10009,0.269,0.188
10010,0.111,0.092
10011,0.096,0.09
10012,0.1,0.095
10013,0.106,0.089
10014,0.122,0.098
10015,0.151,0.128
10016,0.181,0.183
10017,0.575,0.17
10018,0.464,0.18
10019,0.674,0.29
10020,0.553,0.469
10021,0.437,0.513
10022,0.607,0.329
10023,0.48,0.276
10024,0.207,0.363
10025,0.33,0.536
10026,0.555,0.63
10027,0.63,0.832
10028,0.696,0.746
10029,0.685,0.597
10030,0.626,0.565
10031,0.398,0.42
10032,0.212,0.27
10033,0.096,0.211
10034,0.098,0.104
10035,0.091,0.099
10036,0.087,0.101
10037,0.093,0.102
10038,0.134,0.107
10039,0.17,0.131
10040,0.37,0.18
10041,0.322,0.183
10042,0.49,0.188
10043,0.637,0.24
10044,0.559,0.43
10045,0.426,0.556
10046,0.316,0.385
10047,0.19,0.32
10048,0.177,0.368
10049,0.176,0.563
10050,0.482,0.685
10051,0.715,0.923
10052,0.686,0.924
10053,0.692,0.821
10054,0.503,0.724
10055,0.268,0.58
10056,0.095,0.394
10057,0.092,0.275
10058,0.098,0.147
10059,0.09,0.111
10060,0.092,0.108
10061,0.095,0.107
10062,0.127,0.108
10063,0.176,0.124
10064,0.173,0.161
10065,0.41,0.18
10066,0.414,0.175
10067,0.6,0.197
10068,0.624,0.37
10069,0.623,0.505
10070,0.636,0.423
10071,0.547,0.384
10072,0.572,0.476
10073,0.486,0.531
10074,0.52,0.612
10075,1.305,0.709
10076,0.646,0.739
10077,0.522,0.725
10078,0.551,0.667
10079,0.37,0.549
10080,0.244,0.407
10081,0.171,0.287
10082,0.101,0.165
10083,0.102,0.107
10084,0.107,0.104
10085,0.091,0.106
10086,0.127,0.105
10087,0.165,0.116
10088,0.172,0.146
10089,0.176,0.191
10090,0.465,0.167
10091,0.639,0.208
10092,0.502,0.352
10093,0.51,0.536
10094,0.686,0.471
10095,0.38,0.378
10096,0.568,0.365
10097,0.512,0.498
10098,0.462,0.54
10099,0.338,0.714
10100,0.296,0.77
10101,0.296,0.669
10102,0.301,0.622
10103,0.517,0.529
10104,0.533,0.334
10105,0.188,0.234
10106,0.096,0.126
10107,0.096,0.102
10108,0.093,0.1
10109,0.089,0.099
10110,0.12,0.1
10111,0.169,0.119
10112,0.453,0.166
10113,0.439,0.19
10114,0.684,0.167
10115,0.427,0.208
10116,0.231,0.44
10117,0.204,0.572
10118,0.182,0.425
10119,0.337,0.342
10120,0.396,0.41
10121,0.513,0.567
10122,0.853,0.642
10123,1.495,0.882
10124,0.871,0.798
10125,0.847,0.655
10126,0.875,0.628
10127,0.747,0.471
10128,0.327,0.289
10129,0.117,0.228
10130,0.102,0.114
10131,0.233,0.1
10132,0.1,0.1
10133,0.095,0.098
10134,0.121,0.1
10135,0.162,0.121
10136,0.307,0.173
10137,0.351,0.189
10138,0.358,0.174
10139,0.233,0.224
10140,0.203,0.448
10141,0.325,0.604
10142,0.963,0.394
10143,0.303,0.302
10144,0.373,0.337
10145,0.732,0.567
10146,1.32,0.654
10147,0.593,0.956
10148,0.712,0.891
10149,0.711,0.74
10150,0.671,0.67
10151,0.384,0.512
10152,0.12,0.309
