time_idx,Real,predict
9985,0.093,0.052
9986,0.11,0.068
9987,0.016,0.067
9988,0.06,0.076
9989,0.099,0.098
9990,0.035,0.206
9991,0.321,0.466
9992,0.547,0.356
9993,0.303,0.281
9994,0.326,0.282
9995,0.163,0.264
9996,0.284,0.268
9997,0.166,0.296
9998,0.212,0.329
9999,0.189,0.355
10000,0.264,0.371
10001,0.389,0.388
10002,0.359,0.411
10003,0.35,0.398
10004,0.37,0.335
10005,0.346,0.344
10006,0.399,0.263
10007,0.295,0.115
10008,0.177,0.081
10009,0.027,0.075
10010,0.077,0.078
10011,0.017,0.068
10012,0.089,0.126
10013,0.016,0.239
10014,0.106,0.24
10015,0.124,0.232
10016,0.196,0.26
10017,0.194,0.264
10018,0.195,0.257
10019,0.203,0.266
10020,0.169,0.28
10021,0.219,0.297
10022,0.197,0.324
10023,0.17,0.364
10024,0.221,0.423
10025,0.194,0.494
10026,0.282,0.51
10027,0.433,0.499
10028,0.438,0.444
10029,0.418,0.331
10030,0.566,0.139
10031,0.407,0.079
10032,0.31,0.069
10033,0.116,0.065
10034,0.035,0.066
10035,0.096,0.065
10036,0.118,0.094
10037,0.018,0.172
10038,0.097,0.208
10039,0.5,0.243
10040,0.536,0.282
10041,0.1,0.307
10042,0.253,0.312
10043,1.035,0.305
10044,1.519,0.289
10045,1.727,0.278
10046,1.06,0.294
10047,0.791,0.364
10048,0.438,0.477
10049,0.913,0.58
10050,0.989,0.658
10051,0.671,0.821
10052,1.084,0.63
10053,0.516,0.472
10054,0.794,0.276
10055,1.192,0.088
10056,0.594,0.067
10057,0.017,0.058
10058,0.081,0.056
10059,0.032,0.061
10060,0.052,0.071
10061,0.059,0.087
10062,0.037,0.161
10063,0.194,0.211
10064,1.231,0.257
10065,0.309,0.296
10066,0.739,0.309
10067,0.254,0.311
10068,0.129,0.303
10069,0.134,0.287
10070,0.236,0.278
10071,0.204,0.295
10072,0.181,0.361
10073,0.393,0.468
10074,0.427,0.557
10075,0.494,0.591
10076,0.598,0.608
10077,1.928,0.515
10078,1.694,0.385
10079,0.817,0.17
10080,0.545,0.053
10081,0.072,0.046
10082,0.032,0.045
10083,0.12,0.049
10084,0.043,0.054
10085,0.038,0.056
10086,0.142,0.093
10087,0.191,0.142
10088,0.258,0.187
10089,0.176,0.238
10090,0.289,0.291
10091,0.254,0.338
10092,0.197,0.368
10093,0.833,0.372
10094,1.469,0.344
10095,1.162,0.304
10096,0.483,0.294
10097,0.131,0.36
10098,0.42,0.484
10099,0.421,0.475
10100,0.646,0.462
10101,0.338,0.439
10102,0.394,0.355
10103,0.369,0.187
10104,0.151,0.05
10105,0.0,0.041
10106,0.0,0.04
10107,0.0,0.043
10108,0.0,0.043
10109,0.0,0.039
10110,0.0,0.046
10111,0.0,0.067
10112,0.0,0.081
10113,0.0,0.097
10114,0.0,0.127
10115,0.0,0.167
10116,0.0,0.216
10117,0.0,0.275
10118,0.0,0.345
10119,0.0,0.399
10120,0.0,0.438
10121,0.0,0.477
10122,0.0,0.543
10123,0.0,0.62
10124,0.0,0.603
10125,0.0,0.475
10126,0.0,0.365
10127,0.0,0.171
10128,0.03,0.079
10129,0.068,0.07
10130,0.043,0.068
10131,0.041,0.069
10132,0.07,0.07
10133,0.016,0.09
10134,0.111,0.194
10135,0.119,0.218
10136,0.238,0.243
10137,0.442,0.279
10138,0.25,0.302
10139,0.16,0.298
10140,0.13,0.29
10141,0.197,0.278
10142,0.2,0.271
10143,0.203,0.29
10144,0.196,0.35
10145,0.192,0.443
10146,0.316,0.559
10147,0.415,0.704
10148,0.554,1.414
10149,2.103,1.055
10150,1.771,0.424
10151,1.129,0.225
10152,0.193,0.067
