time_idx,Real,predict
9985,0.641,0.559
9986,0.215,0.238
9987,0.251,0.214
9988,0.209,0.233
9989,0.206,0.274
9990,0.433,0.445
9991,0.443,0.607
9992,0.436,0.545
9993,0.246,0.239
9994,0.206,0.373
9995,0.37,0.801
9996,0.551,1.043
9997,1.224,0.836
9998,0.773,0.96
9999,0.63,1.202
10000,0.462,1.757
10001,1.95,2.026
10002,2.161,2.49
10003,2.085,1.835
10004,2.09,2.005
10005,2.453,1.585
10006,2.983,1.898
10007,1.107,1.616
10008,1.189,1.727
10009,0.627,0.844
10010,0.518,0.298
10011,0.195,0.208
10012,0.189,0.228
10013,0.198,0.186
10014,0.404,0.273
10015,0.432,0.356
10016,0.42,0.4
10017,0.408,0.473
10018,0.299,0.421
10019,0.417,0.469
10020,0.3,0.503
10021,0.48,0.511
10022,0.509,0.531
10023,0.791,0.574
10024,0.987,0.676
10025,1.376,0.893
10026,2.079,1.247
10027,2.101,1.613
10028,2.04,2.001
10029,1.701,2.283
10030,1.392,2.381
10031,1.234,2.443
10032,0.701,1.575
10033,0.307,0.813
10034,0.133,0.402
10035,0.132,0.24
10036,0.141,0.208
10037,0.141,0.226
10038,0.178,0.253
10039,0.373,0.338
10040,0.36,0.492
10041,0.35,0.64
10042,1.06,0.834
10043,1.331,1.023
10044,1.623,1.169
10045,1.67,1.34
10046,0.999,1.566
10047,0.231,1.83
10048,0.234,2.078
10049,0.589,2.285
10050,2.184,2.404
10051,1.918,2.416
10052,2.069,2.368
10053,1.884,2.321
10054,1.28,2.306
10055,1.251,2.309
10056,0.644,1.67
10057,0.432,0.912
10058,0.229,0.287
10059,0.17,0.263
10060,0.133,0.241
10061,0.133,0.188
10062,0.364,0.244
10063,0.444,0.413
10064,0.458,0.631
10065,0.177,0.663
10066,0.165,0.518
10067,0.251,0.451
10068,0.346,0.559
10069,0.431,0.707
10070,1.038,0.867
10071,0.251,1.104
10072,0.21,1.491
10073,0.301,1.883
10074,2.473,2.376
10075,3.658,2.143
10076,2.441,1.975
10077,2.237,1.872
10078,1.644,1.63
10079,1.892,1.844
10080,1.761,1.253
10081,0.694,0.887
10082,0.186,0.741
10083,0.166,0.661
10084,0.22,0.549
10085,0.174,0.366
10086,0.372,0.289
10087,0.436,0.283
10088,0.666,0.307
10089,0.463,0.377
10090,0.442,0.455
10091,0.452,0.494
10092,0.37,0.536
10093,0.41,0.676
10094,0.394,0.879
10095,0.212,1.043
10096,1.143,1.139
10097,1.55,1.184
10098,2.875,1.177
10099,1.984,1.175
10100,1.241,1.175
10101,1.23,1.189
10102,0.946,1.209
10103,1.287,1.225
10104,0.415,0.436
10105,0.164,0.253
10106,0.151,0.202
10107,0.135,0.193
10108,0.144,0.158
10109,0.148,0.157
10110,0.379,0.26
10111,0.439,0.349
10112,0.419,0.455
10113,0.143,0.419
10114,0.171,0.386
10115,0.127,0.405
10116,0.226,0.538
10117,0.544,0.615
10118,0.529,0.679
10119,0.438,0.718
10120,0.345,0.809
10121,1.173,0.906
10122,1.283,1.051
10123,1.23,1.177
10124,1.742,1.344
10125,1.745,1.399
10126,1.462,1.525
10127,1.263,1.477
10128,0.243,0.825
10129,0.122,0.518
10130,0.128,0.369
10131,0.17,0.237
10132,0.196,0.209
10133,0.196,0.222
10134,0.403,0.306
10135,0.535,0.422
10136,0.602,0.524
10137,0.205,0.649
10138,0.201,0.788
10139,0.382,0.838
10140,0.256,0.967
10141,0.768,1.081
10142,0.504,1.24
10143,0.578,1.38
10144,0.787,1.479
10145,0.804,1.608
10146,1.269,1.652
10147,1.542,1.76
10148,1.82,1.802
10149,1.275,1.846
10150,1.481,1.942
10151,1.818,1.939
10152,0.552,1.354
