time_idx,Real,predict
9985,0.504,0.407
9986,0.516,0.287
9987,0.515,0.228
9988,0.512,0.205
9989,0.17,0.181
9990,0.177,0.164
9991,0.174,0.161
9992,0.171,0.178
9993,0.203,0.223
9994,1.154,0.318
9995,0.435,0.537
9996,0.102,0.36
9997,0.228,0.399
9998,0.456,0.373
9999,1.115,0.343
10000,0.968,0.317
10001,0.749,0.31
10002,0.372,0.314
10003,0.348,0.322
10004,0.472,0.337
10005,1.043,0.362
10006,0.637,0.381
10007,0.276,0.384
10008,0.441,0.434
10009,0.491,0.44
10010,0.444,0.383
10011,0.429,0.29
10012,0.442,0.202
10013,0.199,0.163
10014,0.097,0.141
10015,0.104,0.115
10016,0.078,0.094
10017,0.106,0.09
10018,0.385,0.102
10019,0.892,0.12
10020,1.287,0.145
10021,0.224,0.2
10022,0.607,0.341
10023,0.602,0.38
10024,0.516,0.646
10025,0.288,0.723
10026,0.229,0.459
10027,0.578,0.42
10028,1.264,0.416
10029,1.043,0.514
10030,0.53,0.649
10031,0.255,0.586
10032,0.241,0.52
10033,0.343,0.448
10034,0.341,0.37
10035,0.342,0.277
10036,0.34,0.267
10037,0.301,0.33
10038,0.272,0.377
10039,0.493,0.386
10040,0.306,0.389
10041,0.315,0.4
10042,0.214,0.391
10043,0.516,0.349
10044,0.485,0.294
10045,0.402,0.255
10046,0.392,0.241
10047,0.411,0.24
10048,0.452,0.242
10049,0.903,0.239
10050,1.176,0.234
10051,0.437,0.227
10052,0.496,0.22
10053,0.294,0.215
10054,0.306,0.212
10055,0.244,0.212
10056,0.217,0.202
10057,0.19,0.198
10058,0.17,0.215
10059,0.171,0.274
10060,0.171,0.274
10061,0.169,0.251
10062,0.163,0.229
10063,0.302,0.245
10064,0.273,0.371
10065,0.814,0.562
10066,0.572,0.557
10067,1.083,0.493
10068,0.329,0.457
10069,0.08,0.437
10070,0.141,0.426
10071,0.23,0.397
10072,0.772,0.331
10073,0.417,0.274
10074,0.439,0.262
10075,0.542,0.281
10076,0.755,0.311
10077,0.363,0.343
10078,0.375,0.375
10079,0.656,0.401
10080,0.526,0.368
10081,0.506,0.272
10082,0.182,0.233
10083,0.162,0.213
10084,0.159,0.201
10085,0.157,0.188
10086,0.158,0.173
10087,0.158,0.185
10088,0.397,0.235
10089,0.246,0.347
10090,0.485,0.344
10091,0.389,0.286
10092,0.379,0.321
10093,0.348,0.341
10094,0.879,0.338
10095,0.306,0.328
10096,0.275,0.26
10097,1.247,0.331
10098,0.586,0.798
10099,1.098,0.646
10100,0.634,0.704
10101,0.576,0.578
10102,1.223,0.315
10103,0.54,0.35
10104,0.553,0.296
10105,0.52,0.221
10106,0.398,0.142
10107,0.285,0.1
10108,0.283,0.09
10109,0.25,0.106
10110,0.115,0.151
10111,0.135,0.226
10112,0.143,0.39
10113,0.466,0.393
10114,0.361,0.301
10115,0.269,0.362
10116,0.487,0.319
10117,0.448,0.255
10118,0.459,0.329
10119,1.777,0.439
10120,2.206,0.408
10121,0.459,0.399
10122,0.66,0.386
10123,0.463,0.466
10124,0.864,0.623
10125,0.694,0.509
10126,0.55,0.463
10127,0.432,0.407
10128,0.292,0.378
10129,1.007,0.289
10130,0.45,0.21
10131,0.289,0.123
10132,0.286,0.101
10133,0.284,0.096
10134,0.282,0.099
10135,0.281,0.115
10136,0.484,0.135
10137,0.301,0.17
10138,0.171,0.23
10139,0.535,0.298
10140,0.226,0.335
10141,0.184,0.467
10142,0.28,0.551
10143,0.364,0.557
10144,0.938,0.547
10145,0.762,0.549
10146,0.371,0.552
10147,0.531,0.552
10148,0.965,0.563
10149,0.447,0.574
10150,1.002,0.579
10151,0.522,0.584
10152,0.29,0.592
