time_idx,Real,predict
9985,0.062,0.061
9986,0.163,0.083
9987,0.168,0.156
9988,0.173,0.22
9989,0.25,0.151
9990,0.165,0.143
9991,0.257,0.114
9992,0.175,0.092
9993,0.175,0.067
9994,0.187,0.067
9995,0.114,0.068
9996,0.07,0.067
9997,0.062,0.07
9998,0.068,0.082
9999,0.145,0.085
10000,0.076,0.075
10001,0.06,0.06
10002,0.06,0.06
10003,0.059,0.059
10004,0.071,0.069
10005,0.074,0.07
10006,0.062,0.063
10007,0.06,0.059
10008,0.06,0.057
10009,0.06,0.066
10010,0.074,0.138
10011,0.102,0.218
10012,0.275,0.166
10013,0.165,0.151
10014,0.071,0.11
10015,0.18,0.122
10016,0.156,0.097
10017,0.082,0.074
10018,0.058,0.072
10019,0.066,0.071
10020,0.078,0.069
10021,0.059,0.076
10022,0.062,0.086
10023,0.063,0.088
10024,0.081,0.087
10025,0.189,0.084
10026,0.191,0.073
10027,0.189,0.069
10028,0.062,0.071
10029,0.093,0.076
10030,0.345,0.077
10031,0.166,0.074
10032,0.302,0.067
10033,0.181,0.062
10034,0.169,0.065
10035,0.136,0.103
10036,0.159,0.175
10037,0.181,0.205
10038,0.065,0.139
10039,0.229,0.121
10040,0.175,0.098
10041,0.172,0.07
10042,0.161,0.067
10043,0.164,0.07
10044,0.172,0.066
10045,0.231,0.069
10046,0.149,0.081
10047,0.081,0.086
10048,0.06,0.081
10049,0.059,0.067
10050,0.059,0.062
10051,0.066,0.061
10052,0.075,0.068
10053,0.067,0.074
10054,0.148,0.07
10055,0.231,0.062
10056,0.181,0.058
10057,0.139,0.063
10058,0.131,0.131
10059,0.09,0.176
10060,0.076,0.189
10061,0.291,0.147
10062,0.065,0.111
10063,0.092,0.125
10064,0.066,0.095
10065,0.061,0.072
10066,0.065,0.07
10067,0.078,0.071
10068,0.074,0.067
10069,0.075,0.074
10070,0.073,0.085
10071,0.103,0.088
10072,0.073,0.085
10073,0.06,0.078
10074,0.061,0.066
10075,0.068,0.066
10076,0.071,0.07
10077,0.072,0.076
10078,0.066,0.076
10079,0.062,0.07
10080,0.062,0.063
10081,0.063,0.061
10082,0.198,0.078
10083,0.172,0.146
10084,0.143,0.17
10085,0.205,0.212
10086,0.077,0.139
10087,0.143,0.117
10088,0.112,0.092
10089,0.078,0.068
10090,0.084,0.066
10091,0.067,0.072
10092,0.061,0.066
10093,0.16,0.069
10094,0.151,0.08
10095,0.09,0.085
10096,0.073,0.078
10097,0.071,0.063
10098,0.081,0.062
10099,0.084,0.06
10100,0.07,0.068
10101,0.064,0.07
10102,0.065,0.066
10103,0.086,0.062
10104,0.069,0.059
10105,0.061,0.063
10106,0.228,0.136
10107,0.144,0.211
10108,0.131,0.165
10109,0.136,0.149
10110,0.08,0.106
10111,0.196,0.134
10112,0.101,0.09
10113,0.067,0.072
10114,0.081,0.072
10115,0.061,0.072
10116,0.063,0.068
10117,0.07,0.074
10118,0.087,0.085
10119,0.129,0.088
10120,0.058,0.087
10121,0.073,0.083
10122,0.072,0.071
10123,0.059,0.067
10124,0.059,0.069
10125,0.134,0.075
10126,0.065,0.076
10127,0.06,0.073
10128,0.079,0.066
10129,0.07,0.061
10130,0.19,0.068
10131,0.195,0.116
10132,0.154,0.171
10133,0.21,0.212
10134,0.07,0.141
10135,0.107,0.123
10136,0.094,0.103
10137,0.075,0.073
10138,0.078,0.067
10139,0.06,0.073
10140,0.06,0.067
10141,0.074,0.069
10142,0.079,0.08
10143,0.064,0.086
10144,0.059,0.082
10145,0.075,0.069
10146,0.071,0.062
10147,0.058,0.062
10148,0.058,0.067
10149,0.06,0.075
10150,0.078,0.073
10151,0.067,0.063
10152,0.021,0.058
