time_idx,Real,predict
9985,0.281,0.347
9986,0.099,0.234
9987,0.109,0.204
9988,0.127,0.184
9989,0.121,0.233
9990,0.12,0.261
9991,0.231,0.272
9992,1.451,0.294
9993,0.996,0.313
9994,0.462,0.3
9995,0.345,0.301
9996,0.339,0.315
9997,0.297,0.323
9998,0.393,0.327
9999,0.318,0.329
10000,0.294,0.328
10001,0.212,0.325
10002,0.356,0.321
10003,0.29,0.318
10004,0.764,0.317
10005,0.4,0.318
10006,1.713,0.318
10007,0.778,0.318
10008,0.345,0.318
10009,0.354,0.317
10010,0.361,0.315
10011,0.345,0.313
10012,0.339,0.312
10013,0.311,0.311
10014,0.322,0.311
10015,0.467,0.311
10016,1.241,0.312
10017,0.83,0.313
10018,0.922,0.313
10019,0.5,0.313
10020,0.416,0.312
10021,0.74,0.31
10022,0.5,0.309
10023,0.285,0.307
10024,0.198,0.306
10025,0.291,0.305
10026,0.473,0.305
10027,0.441,0.305
10028,0.462,0.305
10029,0.564,0.305
10030,0.471,0.305
10031,0.275,0.305
10032,0.139,0.304
10033,0.138,0.303
10034,0.135,0.302
10035,0.113,0.301
10036,0.108,0.301
10037,0.173,0.3
10038,0.22,0.3
10039,0.23,0.3
10040,0.212,0.3
10041,0.183,0.301
10042,0.158,0.301
10043,0.476,0.3
10044,0.541,0.3
10045,0.395,0.3
10046,0.28,0.299
10047,0.242,0.299
10048,0.203,0.298
10049,0.218,0.298
10050,0.255,0.298
10051,0.249,0.298
10052,0.297,0.299
10053,0.208,0.299
10054,0.392,0.299
10055,0.409,0.298
10056,0.253,0.298
10057,0.217,0.298
10058,0.217,0.298
10059,0.221,0.298
10060,0.204,0.298
10061,0.2,0.298
10062,0.214,0.298
10063,0.347,0.298
10064,0.259,0.298
10065,0.608,0.298
10066,0.387,0.298
10067,0.373,0.298
10068,0.825,0.298
10069,1.442,0.297
10070,0.29,0.297
10071,0.699,0.297
10072,1.202,0.297
10073,0.544,0.297
10074,0.722,0.297
10075,0.297,0.297
10076,0.348,0.297
10077,0.299,0.297
10078,0.302,0.297
10079,0.27,0.297
10080,0.205,0.297
10081,0.296,0.297
10082,0.207,0.297
10083,0.191,0.297
10084,0.191,0.297
10085,0.208,0.297
10086,0.219,0.297
10087,0.223,0.297
10088,0.242,0.297
10089,0.268,0.297
10090,0.356,0.297
10091,0.263,0.297
10092,0.185,0.297
10093,0.22,0.297
10094,0.426,0.297
10095,0.4,0.297
10096,0.307,0.297
10097,0.305,0.297
10098,0.298,0.297
10099,0.353,0.297
10100,0.35,0.297
10101,0.367,0.297
10102,0.507,0.297
10103,0.358,0.297
10104,0.252,0.297
10105,0.15,0.297
10106,0.093,0.297
10107,0.113,0.297
10108,0.151,0.297
10109,0.219,0.297
10110,0.127,0.297
10111,0.431,0.297
10112,0.356,0.297
10113,0.297,0.297
10114,0.238,0.297
10115,0.174,0.297
10116,0.164,0.297
10117,0.193,0.297
10118,0.31,0.297
10119,0.201,0.297
10120,0.17,0.297
10121,0.179,0.297
10122,0.496,0.297
10123,0.347,0.297
10124,0.25,0.297
10125,0.273,0.297
10126,0.296,0.297
10127,0.282,0.297
10128,0.206,0.297
10129,0.211,0.297
10130,0.199,0.297
10131,0.191,0.297
10132,0.167,0.297
10133,0.346,0.297
10134,0.307,0.297
10135,0.437,0.297
10136,0.375,0.297
10137,0.382,0.297
10138,0.284,0.297
10139,0.187,0.297
10140,0.112,0.297
10141,0.154,0.297
10142,0.214,0.297
10143,0.305,0.297
10144,0.296,0.297
10145,0.106,0.297
10146,0.065,0.297
10147,0.402,0.297
10148,0.42,0.297
10149,0.417,0.297
10150,0.401,0.297
10151,0.521,0.297
10152,0.251,0.297
