time_idx,Real,predict
9985,0.169,0.275
9986,0.194,0.135
9987,0.178,0.113
9988,0.116,0.124
9989,0.12,0.123
9990,0.121,0.135
9991,1.35,0.134
9992,0.411,0.171
9993,0.153,0.197
9994,0.191,0.396
9995,0.173,0.519
9996,0.116,0.161
9997,0.122,0.105
9998,0.108,0.105
9999,0.096,0.105
10000,0.109,0.152
10001,0.401,0.259
10002,1.801,0.529
10003,1.705,1.299
10004,1.63,1.484
10005,1.57,1.32
10006,1.537,1.361
10007,1.565,1.283
10008,1.552,1.12
10009,1.518,0.192
10010,1.145,0.123
10011,0.185,0.104
10012,0.173,0.102
10013,0.114,0.098
10014,0.113,0.102
10015,0.5,0.114
10016,0.99,0.13
10017,0.282,0.127
10018,0.171,0.248
10019,0.183,0.429
10020,0.168,0.238
10021,0.099,0.117
10022,0.098,0.1
10023,0.116,0.103
10024,0.122,0.144
10025,0.104,0.239
10026,0.579,0.441
10027,1.679,1.239
10028,1.642,1.563
10029,1.579,1.382
10030,1.56,1.439
10031,1.55,1.383
10032,1.19,1.202
10033,0.137,0.253
10034,0.156,0.138
10035,0.198,0.114
10036,0.178,0.111
10037,0.123,0.109
10038,0.115,0.113
10039,0.123,0.119
10040,0.122,0.135
10041,0.097,0.134
10042,0.101,0.275
10043,0.47,0.458
10044,1.121,0.231
10045,0.95,0.112
10046,1.221,0.099
10047,1.205,0.103
10048,1.207,0.153
10049,1.073,0.265
10050,1.088,0.54
10051,1.293,1.337
10052,1.635,1.522
10053,1.614,1.372
10054,1.554,1.43
10055,1.557,1.367
10056,1.491,1.22
10057,0.206,0.238
10058,0.123,0.137
10059,0.16,0.115
10060,0.19,0.112
10061,0.174,0.11
10062,0.114,0.113
10063,0.46,0.119
10064,0.995,0.133
10065,0.258,0.131
10066,0.096,0.268
10067,0.183,0.453
10068,0.189,0.235
10069,0.175,0.113
10070,0.116,0.1
10071,0.123,0.104
10072,0.109,0.154
10073,0.094,0.268
10074,0.104,0.547
10075,0.188,1.344
10076,1.846,1.521
10077,1.675,1.374
10078,1.718,1.432
10079,1.556,1.37
10080,1.575,1.226
10081,0.288,0.24
10082,0.124,0.138
10083,0.123,0.115
10084,0.218,0.112
10085,0.18,0.11
10086,0.123,0.113
10087,0.114,0.119
10088,0.186,0.134
10089,1.075,0.131
10090,0.379,0.268
10091,0.1,0.454
10092,0.187,0.235
10093,0.41,0.113
10094,1.394,0.1
10095,1.158,0.104
10096,1.093,0.154
10097,1.087,0.269
10098,1.104,0.553
10099,1.239,1.347
10100,1.214,1.519
10101,1.227,1.373
10102,1.217,1.431
10103,1.165,1.368
10104,1.184,1.226
10105,1.177,0.239
10106,0.713,0.138
10107,0.18,0.115
10108,0.158,0.112
10109,0.187,0.11
10110,0.175,0.113
10111,0.117,0.119
10112,1.127,0.133
10113,0.921,0.131
10114,0.131,0.268
10115,0.11,0.453
10116,0.142,0.236
10117,0.196,0.113
10118,0.983,0.1
10119,1.176,0.104
10120,1.11,0.154
10121,1.09,0.269
10122,1.125,0.553
10123,1.152,1.347
10124,1.235,1.519
10125,1.248,1.373
10126,1.213,1.432
10127,1.172,1.368
10128,1.17,1.227
10129,0.708,0.24
10130,0.126,0.138
10131,0.126,0.115
10132,0.123,0.112
10133,0.188,0.11
10134,0.182,0.113
10135,0.16,0.119
10136,0.484,0.133
10137,0.972,0.131
10138,0.277,0.268
10139,0.124,0.453
10140,0.118,0.236
10141,0.165,0.113
10142,0.187,0.1
10143,0.419,0.104
10144,0.628,0.154
10145,1.145,0.269
10146,1.132,0.553
10147,1.278,1.348
10148,1.565,1.519
10149,1.411,1.373
10150,1.245,1.431
10151,1.233,1.368
10152,0.618,1.227
