time_idx,Real,predict
9985,0.045,0.038
9986,0.034,0.072
9987,0.082,0.052
9988,0.036,0.068
9989,0.033,0.059
9990,0.081,0.062
9991,0.035,0.091
9992,0.029,0.11
9993,0.075,0.089
9994,0.025,0.074
9995,0.148,0.051
9996,0.063,0.054
9997,0.035,0.081
9998,0.255,0.047
9999,0.136,0.058
10000,0.063,0.129
10001,0.077,0.074
10002,0.035,0.188
10003,0.088,0.108
10004,0.103,0.102
10005,0.139,0.132
10006,0.114,0.133
10007,0.073,0.114
10008,0.079,0.099
10009,0.096,0.052
10010,0.067,0.066
10011,0.039,0.066
10012,0.031,0.055
10013,0.076,0.059
10014,0.033,0.059
10015,0.034,0.064
10016,0.297,0.185
10017,0.122,0.072
10018,0.84,0.084
10019,0.107,0.053
10020,0.036,0.05
10021,0.063,0.092
10022,0.154,0.044
10023,0.292,0.077
10024,0.23,0.175
10025,0.253,0.197
10026,0.601,0.336
10027,0.465,0.271
10028,0.451,0.373
10029,0.328,0.353
10030,0.387,0.278
10031,0.381,0.165
10032,0.064,0.072
10033,0.045,0.057
10034,0.076,0.061
10035,0.036,0.055
10036,0.068,0.05
10037,0.053,0.065
10038,0.035,0.057
10039,0.084,0.058
10040,0.233,0.273
10041,0.196,0.102
10042,0.143,0.058
10043,0.085,0.052
10044,0.081,0.075
10045,0.161,0.05
10046,0.194,0.048
10047,0.159,0.077
10048,0.202,0.08
10049,0.056,0.055
10050,0.124,0.051
10051,0.069,0.063
10052,0.203,0.124
10053,0.321,0.28
10054,0.314,0.271
10055,0.263,0.239
10056,0.036,0.058
10057,0.075,0.051
10058,0.046,0.069
10059,0.042,0.038
10060,0.077,0.058
10061,0.034,0.06
10062,0.067,0.041
10063,0.041,0.071
10064,0.256,0.19
10065,0.093,0.07
10066,0.168,0.079
10067,0.085,0.038
10068,0.037,0.037
10069,0.055,0.083
10070,0.065,0.032
10071,0.036,0.034
10072,0.079,0.08
10073,0.133,0.029
10074,0.303,0.03
10075,0.505,0.084
10076,0.301,0.093
10077,0.318,0.267
10078,0.336,0.207
10079,0.288,0.065
10080,0.154,0.071
10081,0.044,0.041
10082,0.039,0.074
10083,0.085,0.053
10084,0.036,0.069
10085,0.064,0.06
10086,0.057,0.063
10087,0.066,0.09
10088,0.084,0.165
10089,0.177,0.074
10090,0.067,0.089
10091,0.051,0.038
10092,0.045,0.037
10093,0.072,0.086
10094,0.035,0.036
10095,0.171,0.106
10096,0.675,0.252
10097,0.238,0.272
10098,0.337,0.29
10099,0.052,0.148
10100,0.147,0.139
10101,0.105,0.13
10102,0.251,0.125
10103,0.273,0.098
10104,0.136,0.064
10105,0.073,0.08
10106,0.046,0.042
10107,0.036,0.038
10108,0.083,0.073
10109,0.035,0.028
10110,0.043,0.031
10111,0.074,0.07
10112,0.242,0.069
10113,0.077,0.095
10114,0.162,0.07
10115,0.036,0.041
10116,0.175,0.035
10117,0.035,0.094
10118,0.034,0.028
10119,0.183,0.117
10120,0.075,0.228
10121,0.261,0.196
10122,0.319,0.366
10123,0.329,0.339
10124,0.41,0.435
10125,0.306,0.209
10126,0.335,0.051
10127,0.21,0.08
10128,0.036,0.031
10129,0.086,0.049
10130,0.036,0.088
10131,0.057,0.026
10132,0.063,0.035
10133,0.036,0.079
10134,0.079,0.034
10135,0.04,0.036
10136,0.137,0.074
10137,0.109,0.05
10138,0.116,0.042
10139,0.196,0.048
10140,0.034,0.042
10141,0.167,0.041
10142,0.101,0.039
10143,0.045,0.032
10144,0.068,0.031
10145,0.074,0.056
10146,0.442,0.37
10147,0.358,0.406
10148,0.341,0.355
10149,0.273,0.106
10150,0.161,0.042
10151,0.194,0.08
10152,0.024,0.024
