time_idx,Real,predict
9985,0.024,0.015
9986,0.022,0.016
9987,0.016,0.014
9988,0.008,0.016
9989,0.022,0.025
9990,0.114,0.055
9991,0.045,0.141
9992,0.159,0.187
9993,0.07,0.214
9994,0.092,0.101
9995,0.068,0.087
9996,0.082,0.027
9997,0.573,0.442
9998,0.383,0.34
9999,0.169,0.152
10000,0.111,0.093
10001,0.116,0.15
10002,0.129,0.154
10003,0.312,0.391
10004,0.214,0.218
10005,0.217,0.222
10006,0.228,0.22
10007,0.156,0.118
10008,0.054,0.023
10009,0.005,0.016
10010,0.021,0.015
10011,0.024,0.013
10012,0.021,0.014
10013,0.003,0.016
10014,0.023,0.035
10015,0.186,0.126
10016,2.651,0.214
10017,0.6,0.172
10018,0.093,0.126
10019,0.056,0.081
10020,0.162,0.081
10021,0.286,0.082
10022,0.415,0.628
10023,0.176,0.188
10024,0.1,0.085
10025,0.162,0.137
10026,0.157,0.138
10027,0.388,0.336
10028,0.225,0.234
10029,0.222,0.218
10030,0.216,0.217
10031,0.304,0.118
10032,0.065,0.018
10033,0.012,0.012
10034,0.01,0.012
10035,0.024,0.014
10036,0.02,0.015
10037,0.033,0.016
10038,0.004,0.036
10039,0.11,0.136
10040,2.462,0.225
10041,1.316,0.167
10042,0.113,0.123
10043,0.168,0.079
10044,0.029,0.082
10045,0.02,0.082
10046,0.245,0.618
10047,0.109,0.193
10048,0.17,0.083
10049,0.115,0.139
10050,0.298,0.138
10051,0.362,0.333
10052,0.22,0.235
10053,0.226,0.219
10054,0.213,0.215
10055,0.094,0.115
10056,0.041,0.016
10057,0.03,0.011
10058,0.017,0.012
10059,0.006,0.014
10060,0.026,0.016
10061,0.024,0.016
10062,0.108,0.039
10063,1.793,0.145
10064,0.097,0.226
10065,0.076,0.167
10066,0.144,0.115
10067,0.085,0.08
10068,0.051,0.076
10069,0.42,0.104
10070,0.299,0.608
10071,0.204,0.194
10072,0.111,0.084
10073,0.178,0.144
10074,0.113,0.138
10075,0.351,0.332
10076,0.219,0.234
10077,0.223,0.219
10078,0.217,0.213
10079,0.193,0.112
10080,0.049,0.015
10081,0.019,0.01
10082,0.022,0.012
10083,0.024,0.015
10084,0.017,0.016
10085,0.007,0.016
10086,0.024,0.042
10087,0.128,0.153
10088,0.273,0.225
10089,1.284,0.17
10090,0.236,0.107
10091,0.187,0.082
10092,0.027,0.068
10093,0.462,0.137
10094,0.355,0.588
10095,0.054,0.196
10096,0.139,0.088
10097,0.104,0.149
10098,0.198,0.137
10099,0.358,0.33
10100,0.227,0.234
10101,0.217,0.219
10102,0.216,0.212
10103,0.217,0.111
10104,0.101,0.013
10105,0.024,0.009
10106,0.013,0.011
10107,0.01,0.014
10108,0.024,0.016
10109,0.022,0.016
10110,0.021,0.044
10111,0.081,0.158
10112,0.156,0.223
10113,0.232,0.172
10114,0.1,0.101
10115,0.042,0.083
10116,0.138,0.062
10117,0.407,0.168
10118,0.875,0.565
10119,0.181,0.198
10120,0.106,0.092
10121,0.163,0.154
10122,0.137,0.136
10123,0.299,0.328
10124,0.221,0.235
10125,0.222,0.219
10126,0.22,0.211
10127,0.188,0.112
10128,0.038,0.013
10129,0.015,0.008
10130,0.011,0.011
10131,0.025,0.014
10132,0.025,0.016
10133,0.017,0.016
10134,0.008,0.046
10135,0.131,0.162
10136,2.642,0.222
10137,0.677,0.174
10138,0.102,0.097
10139,0.043,0.083
10140,0.127,0.057
10141,0.185,0.191
10142,0.559,0.546
10143,0.082,0.199
10144,0.188,0.094
10145,0.173,0.157
10146,0.138,0.135
10147,0.333,0.327
10148,0.224,0.235
10149,0.223,0.219
10150,0.239,0.21
10151,0.073,0.113
10152,0.02,0.012
