time_idx,Real,predict
9985,0.126,0.262
9986,0.202,0.241
9987,0.131,0.237
9988,0.199,0.212
9989,0.136,0.196
9990,0.183,0.19
9991,0.141,0.174
9992,0.199,0.173
9993,0.337,0.287
9994,0.93,0.361
9995,0.416,0.561
9996,0.366,0.304
9997,0.19,0.143
9998,0.117,0.382
9999,0.185,0.336
10000,0.951,0.367
10001,0.862,0.26
10002,0.349,0.331
10003,0.494,0.358
10004,0.344,0.34
10005,0.384,0.341
10006,0.365,0.345
10007,0.389,0.33
10008,0.317,0.253
10009,0.249,0.205
10010,0.181,0.165
10011,0.15,0.157
10012,0.188,0.163
10013,0.137,0.161
10014,0.195,0.163
10015,0.128,0.143
10016,0.193,0.232
10017,0.39,0.386
10018,0.202,0.328
10019,0.189,0.256
10020,0.289,0.231
10021,0.133,0.305
10022,0.382,0.669
10023,0.196,0.68
10024,0.375,0.371
10025,0.226,0.55
10026,0.406,0.32
10027,0.387,0.505
10028,0.357,0.378
10029,0.384,0.618
10030,0.36,0.341
10031,1.866,1.141
10032,0.209,0.331
10033,0.226,0.296
10034,0.183,0.192
10035,0.238,0.164
10036,0.132,0.179
10037,0.189,0.155
10038,0.124,0.166
10039,0.2,0.136
10040,0.11,0.193
10041,0.383,0.356
10042,0.337,0.508
10043,1.3,0.921
10044,0.578,0.38
10045,0.427,0.115
10046,0.194,0.231
10047,0.227,0.281
10048,0.207,0.275
10049,0.322,0.224
10050,0.462,0.247
10051,0.456,0.384
10052,0.396,0.359
10053,0.443,0.408
10054,0.426,0.325
10055,0.441,0.383
10056,0.351,0.326
10057,0.294,0.28
10058,0.301,0.185
10059,0.167,0.13
10060,0.183,0.162
10061,0.157,0.147
10062,0.24,0.194
10063,0.169,0.143
10064,0.339,0.272
10065,0.267,0.312
10066,0.348,0.244
10067,0.196,0.249
10068,0.17,0.208
10069,0.234,0.224
10070,0.227,0.276
10071,0.197,0.267
10072,0.467,0.183
10073,0.265,0.283
10074,0.604,0.347
10075,0.414,0.397
10076,0.356,0.346
10077,0.399,0.43
10078,0.361,0.374
10079,0.38,0.41
10080,0.216,0.389
10081,0.255,0.304
10082,0.127,0.175
10083,0.197,0.163
10084,0.138,0.168
10085,0.182,0.195
10086,0.103,0.174
10087,0.17,0.152
10088,0.292,0.204
10089,0.351,0.339
10090,0.396,0.372
10091,0.25,0.297
10092,0.171,0.24
10093,0.3,0.246
10094,0.248,0.35
10095,0.228,0.496
10096,0.726,0.293
10097,0.629,0.467
10098,0.879,0.376
10099,0.36,0.382
10100,0.416,0.355
10101,0.347,0.43
10102,1.792,0.352
10103,0.429,0.419
10104,0.386,0.309
10105,0.171,0.285
10106,0.175,0.208
10107,0.163,0.175
10108,0.163,0.176
10109,0.171,0.157
10110,0.151,0.188
10111,0.176,0.147
10112,0.348,0.179
10113,0.345,0.34
10114,0.942,0.22
10115,0.428,0.302
10116,0.15,0.217
10117,0.357,0.171
10118,0.193,0.638
10119,6.168,1.096
10120,0.841,1.012
10121,0.947,0.366
10122,0.402,0.452
10123,0.41,0.485
10124,0.333,0.466
10125,0.458,0.406
10126,0.383,0.479
10127,0.368,0.397
10128,0.361,0.293
10129,0.202,0.188
10130,0.181,0.202
10131,0.14,0.158
10132,0.191,0.197
10133,0.124,0.15
10134,0.195,0.167
10135,0.121,0.199
10136,0.335,0.336
10137,0.259,0.433
10138,0.398,0.419
10139,0.213,0.262
10140,0.354,0.16
10141,0.196,0.316
10142,0.339,0.456
10143,0.204,0.297
10144,0.213,0.283
10145,0.228,0.379
10146,0.42,0.346
10147,0.398,0.388
10148,0.33,0.367
10149,0.399,0.389
10150,0.337,0.357
10151,0.463,0.277
10152,0.182,0.204
