time_idx,Real,predict
9985,0.372,0.433
9986,0.297,0.459
9987,0.299,0.498
9988,0.298,0.548
9989,0.324,0.604
9990,0.775,0.661
9991,0.762,0.717
9992,0.763,0.767
9993,0.851,0.811
9994,0.787,0.846
9995,0.695,0.872
9996,1.063,0.89
9997,1.014,0.901
9998,0.751,0.906
9999,0.848,0.907
10000,0.488,0.906
10001,1.249,0.903
10002,1.046,0.9
10003,1.19,0.896
10004,0.85,0.893
10005,0.882,0.89
10006,0.668,0.888
10007,0.528,0.886
10008,0.495,0.885
10009,0.402,0.884
10010,0.723,0.883
10011,0.312,0.883
10012,0.328,0.883
10013,0.275,0.883
10014,0.345,0.883
10015,0.414,0.883
10016,0.803,0.883
10017,1.326,0.883
10018,1.115,0.883
10019,0.915,0.884
10020,0.835,0.884
10021,0.513,0.884
10022,0.45,0.884
10023,0.898,0.884
10024,0.426,0.884
10025,0.483,0.884
10026,0.843,0.884
10027,1.573,0.884
10028,0.732,0.884
10029,0.954,0.884
10030,1.048,0.884
10031,1.414,0.884
10032,1.32,0.884
10033,0.801,0.884
10034,0.758,0.884
10035,0.548,0.884
10036,0.421,0.884
10037,0.308,0.884
10038,0.357,0.884
10039,0.37,0.884
10040,0.339,0.884
10041,0.749,0.884
10042,0.862,0.884
10043,1.0,0.884
10044,0.991,0.884
10045,1.294,0.884
10046,3.033,0.884
10047,1.981,0.884
10048,1.845,0.884
10049,1.097,0.884
10050,1.106,0.884
10051,0.965,0.884
10052,0.911,0.884
10053,0.873,0.884
10054,1.107,0.884
10055,0.957,0.884
10056,0.967,0.884
10057,0.765,0.884
10058,0.865,0.884
10059,0.682,0.884
10060,0.627,0.884
10061,0.474,0.884
10062,0.888,0.884
10063,0.76,0.884
10064,0.906,0.884
10065,0.509,0.884
10066,1.028,0.884
10067,0.582,0.884
10068,1.135,0.884
10069,1.632,0.884
10070,0.795,0.884
10071,0.776,0.884
10072,0.609,0.884
10073,0.806,0.884
10074,1.871,0.884
10075,2.021,0.884
10076,1.431,0.884
10077,1.046,0.884
10078,0.907,0.884
10079,0.827,0.884
10080,0.707,0.884
10081,0.775,0.884
10082,0.509,0.884
10083,0.441,0.884
10084,0.429,0.884
10085,0.44,0.884
10086,1.015,0.884
10087,1.819,0.884
10088,0.981,0.884
10089,0.83,0.884
10090,0.682,0.884
10091,0.639,0.884
10092,0.606,0.884
10093,0.514,0.884
10094,0.48,0.884
10095,0.663,0.884
10096,0.518,0.884
10097,0.741,0.884
10098,0.752,0.884
10099,0.876,0.884
10100,0.906,0.884
10101,0.739,0.884
10102,0.778,0.884
10103,0.931,0.884
10104,0.576,0.884
10105,0.565,0.884
10106,0.534,0.884
10107,0.517,0.884
10108,0.425,0.884
10109,0.423,0.884
10110,0.813,0.884
10111,0.786,0.884
10112,0.837,0.884
10113,0.743,0.884
10114,0.782,0.884
10115,0.693,0.884
10116,1.316,0.884
10117,0.855,0.884
10118,0.838,0.884
10119,0.847,0.884
10120,0.549,0.884
10121,0.631,0.884
10122,0.758,0.884
10123,1.57,0.884
10124,1.229,0.884
10125,2.202,0.884
10126,0.654,0.884
10127,0.654,0.884
10128,0.856,0.884
10129,0.437,0.884
10130,0.288,0.884
10131,0.3,0.884
10132,0.385,0.884
10133,0.416,0.884
10134,0.533,0.884
10135,0.836,0.884
10136,0.91,0.884
10137,0.666,0.884
10138,0.889,0.884
10139,0.869,0.884
10140,0.823,0.884
10141,0.821,0.884
10142,0.612,0.884
10143,0.46,0.884
10144,0.748,0.884
10145,0.686,0.884
10146,2.243,0.884
10147,0.831,0.884
10148,0.846,0.884
10149,1.009,0.884
10150,0.935,0.884
10151,0.727,0.884
10152,0.329,0.884
