,House_Hold,MAE_variation_bool,SMAPE_variation_bool,RMSE_variation_bool
0,STRETCHEDSOCIETY_BLOCK_94_MAC000838,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC004233,6,4,3
0,STRETCHEDSOCIETY_BLOCK_100_MAC002775,6,6,4
0,STRETCHEDSOCIETY_BLOCK_106_MAC000653,6,6,6
0,STRETCHEDSOCIETY_BLOCK_100_MAC003020,6,6,2
0,STRETCHEDSOCIETY_BLOCK_105_MAC002128,6,4,6
0,STRETCHEDSOCIETY_BLOCK_107_MAC001673,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_19_MAC002250,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_28_MAC004895,6,5,6
0,STRETCHEDSOCIETY_BLOCK_98_MAC004934,6,6,6
0,STRETCHEDSOCIETY_BLOCK_97_MAC001314,6,6,6
0,STRETCHEDSOCIETY_BLOCK_99_MAC004745,6,5,5
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,6,6,5
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004965,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_12_MAC002752,6,5,6
0,STRETCHEDSOCIETY_BLOCK_98_MAC004892,6,5,6
0,ESTABLISHEDAFFLUENCE_BLOCK_18_MAC005491,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_14_MAC002635,5,5,5
0,ESTABLISHEDAFFLUENCE_BLOCK_22_MAC004736,5,5,5
0,STRETCHEDSOCIETY_BLOCK_95_MAC000365,5,5,5
0,STRETCHEDSOCIETY_BLOCK_105_MAC002054,5,4,6
0,STRETCHEDSOCIETY_BLOCK_104_MAC004395,5,5,3
0,ESTABLISHEDAFFLUENCE_BLOCK_10_MAC002036,5,5,5
0,STRETCHEDSOCIETY_BLOCK_107_MAC001744,5,5,4
0,ESTABLISHEDAFFLUENCE_BLOCK_10_MAC001402,5,4,3
0,STRETCHEDSOCIETY_BLOCK_103_MAC004513,5,5,5
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,5,6,4
0,STRETCHEDSOCIETY_BLOCK_100_MAC002856,5,3,1
0,ESTABLISHEDAFFLUENCE_BLOCK_22_MAC004694,5,6,5
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004531,5,5,2
0,STRETCHEDSOCIETY_BLOCK_95_MAC000006,5,6,5
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,4,4,1
0,STRETCHEDSOCIETY_BLOCK_109_MAC005547,4,6,5
0,STRETCHEDSOCIETY_BLOCK_95_MAC004066,4,4,2
0,ESTABLISHEDAFFLUENCE_BLOCK_27_MAC005235,4,4,4
0,STRETCHEDSOCIETY_BLOCK_98_MAC004064,4,4,1
0,ESTABLISHEDAFFLUENCE_BLOCK_23_MAC000164,4,4,3
0,STRETCHEDSOCIETY_BLOCK_100_MAC002898,4,4,5
0,ESTABLISHEDAFFLUENCE_BLOCK_30_MAC003114,4,4,3
0,STRETCHEDSOCIETY_BLOCK_97_MAC001041,4,4,5
0,STRETCHEDSOCIETY_BLOCK_96_MAC001243,4,4,4
0,ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001651,4,5,1
0,ESTABLISHEDAFFLUENCE_BLOCK_19_MAC005426,4,4,6
0,ESTABLISHEDAFFLUENCE_BLOCK_34_MAC001452,4,4,5
0,STRETCHEDSOCIETY_BLOCK_106_MAC002318,4,3,4
0,STRETCHEDSOCIETY_BLOCK_97_MAC000696,4,4,4
0,ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001905,4,4,5
0,ESTABLISHEDAFFLUENCE_BLOCK_28_MAC005217,4,5,3
0,ESTABLISHEDAFFLUENCE_BLOCK_32_MAC001433,3,3,5
0,ESTABLISHEDAFFLUENCE_BLOCK_11_MAC001980,3,3,4
0,STRETCHEDSOCIETY_BLOCK_93_MAC000449,3,3,2
0,ESTABLISHEDAFFLUENCE_BLOCK_35_MAC001111,3,3,2
0,ESTABLISHEDAFFLUENCE_BLOCK_40_MAC000459,3,3,3
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,3,3,5
