House_Hold,MAE_pct,SMAPE_pct,RMSE_pct
ESTABLISHEDAFFLUENCE_BLOCK_28_MAC004895,-36.725,-41.435,-38.223333333333336
ESTABLISHEDAFFLUENCE_BLOCK_34_MAC001452,-34.278333333333336,-35.125,-29.290000000000003
STRETCHEDSOCIETY_BLOCK_110_MAC002175,-26.918333333333333,-57.125,-18.186666666666667
ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001905,-24.106666666666666,-18.395,-16.666666666666668
ESTABLISHEDAFFLUENCE_BLOCK_28_MAC005217,-21.17,-26.80333333333333,1.0883333333333334
STRETCHEDSOCIETY_BLOCK_104_MAC000090,-17.708,-6.0200000000000005,-18.688
STRETCHEDSOCIETY_BLOCK_94_MAC000838,-16.665000000000003,-19.041666666666668,-2.845
ESTABLISHEDAFFLUENCE_BLOCK_23_MAC004625,-16.0,-16.328,-10.768
ESTABLISHEDAFFLUENCE_BLOCK_22_MAC004736,-15.985,-14.943333333333333,-7.746666666666666
STRETCHEDSOCIETY_BLOCK_97_MAC001035,-11.75,-13.387500000000001,-0.1825
STRETCHEDSOCIETY_BLOCK_109_MAC000529,-10.288333333333334,-5.8933333333333335,-13.161666666666667
ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001651,-9.046666666666667,-10.786666666666667,-13.215000000000002
STRETCHEDSOCIETY_BLOCK_95_MAC000365,-8.753333333333332,-12.973333333333334,-7.293333333333333
STRETCHEDSOCIETY_BLOCK_106_MAC000077,-7.986666666666667,-5.401666666666667,-2.8000000000000003
STRETCHEDSOCIETY_BLOCK_98_MAC004934,-7.435,-5.108333333333333,-9.985000000000001
STRETCHEDSOCIETY_BLOCK_99_MAC004745,-6.596666666666667,-4.786666666666668,-8.695
ESTABLISHEDAFFLUENCE_BLOCK_30_MAC000274,-6.551666666666667,-5.353333333333334,-3.9433333333333334
ESTABLISHEDAFFLUENCE_BLOCK_28_MAC004904,-6.506666666666667,-5.171666666666667,-5.728333333333333
ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,-6.461666666666666,-4.91,-3.8466666666666662
ESTABLISHEDAFFLUENCE_BLOCK_34_MAC002265,-5.881666666666667,-5.455000000000001,3.5549999999999997
STRETCHEDSOCIETY_BLOCK_98_MAC004892,-5.408333333333334,-7.423333333333333,-0.75
STRETCHEDSOCIETY_BLOCK_97_MAC001314,-5.261666666666667,-3.8850000000000002,-4.11
STRETCHEDSOCIETY_BLOCK_106_MAC002318,-5.21,-3.2900000000000005,-3.1933333333333334
ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,-4.978333333333333,-6.451666666666667,-7.234999999999999
ESTABLISHEDAFFLUENCE_BLOCK_12_MAC002752,-4.795,-8.678333333333335,0.08499999999999967
STRETCHEDSOCIETY_BLOCK_94_MAC004366,-4.728333333333333,-4.741666666666667,0.9716666666666662
ESTABLISHEDAFFLUENCE_BLOCK_19_MAC005566,-4.545,-5.088333333333334,-0.4133333333333334
STRETCHEDSOCIETY_BLOCK_100_MAC003020,-3.963333333333333,-9.981666666666666,1.4533333333333338
STRETCHEDSOCIETY_BLOCK_95_MAC004066,-3.92,-0.05666666666666672,-5.283333333333333
STRETCHEDSOCIETY_BLOCK_100_MAC002775,-3.67,-4.666666666666667,-2.5516666666666663
ESTABLISHEDAFFLUENCE_BLOCK_35_MAC001111,-3.6533333333333338,-2.7150000000000003,-3.4266666666666663
ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,-3.5716666666666668,-2.5833333333333335,-2.16
STRETCHEDSOCIETY_BLOCK_97_MAC001041,-3.021666666666667,2.585,-1.78
STRETCHEDSOCIETY_BLOCK_91_MAC001165,-2.858333333333333,-5.05,-4.546666666666667
ESTABLISHEDAFFLUENCE_BLOCK_10_MAC001221,-2.7066666666666666,-5.1033333333333335,-3.796666666666667
STRETCHEDSOCIETY_BLOCK_109_MAC002293,-2.5349999999999997,-3.485,7.303333333333334
STRETCHEDSOCIETY_BLOCK_105_MAC002054,-2.305,-3.3833333333333333,-1.985
STRETCHEDSOCIETY_BLOCK_104_MAC004395,-1.89,-1.9566666666666663,-3.2416666666666667
ESTABLISHEDAFFLUENCE_BLOCK_23_MAC000164,-1.7850000000000001,3.0116666666666667,-2.8000000000000003
ESTABLISHEDAFFLUENCE_BLOCK_32_MAC001433,-1.6433333333333335,-6.4383333333333335,2.098333333333333
STRETCHEDSOCIETY_BLOCK_102_MAC003964,-1.39,0.8333333333333334,9.26
ESTABLISHEDAFFLUENCE_BLOCK_16_MAC002096,-1.3333333333333333,-0.21666666666666667,-0.835
STRETCHEDSOCIETY_BLOCK_107_MAC001672,-1.2933333333333332,-0.21333333333333324,-0.3499999999999997
ESTABLISHEDAFFLUENCE_BLOCK_37_MAC000782,-0.8560000000000001,-2.48,7.587999999999999
STRETCHEDSOCIETY_BLOCK_109_MAC002196,-0.8166666666666668,-2.3716666666666666,-2.1533333333333333
STRETCHEDSOCIETY_BLOCK_102_MAC004129,-0.24166666666666684,0.685,-1.42
ESTABLISHEDAFFLUENCE_BLOCK_19_MAC005426,-0.20499999999999993,4.046666666666666,0.9533333333333333
ESTABLISHEDAFFLUENCE_BLOCK_10_MAC004178,0.0,1.248,1.482
STRETCHEDSOCIETY_BLOCK_106_MAC001460,0.0,-0.21166666666666667,-2.65
STRETCHEDSOCIETY_BLOCK_97_MAC000696,0.3383333333333334,-0.5416666666666666,-0.325
STRETCHEDSOCIETY_BLOCK_100_MAC002898,0.36666666666666664,-0.6833333333333332,-1.5066666666666666
STRETCHEDSOCIETY_BLOCK_107_MAC001673,0.535,7.760000000000001,9.456666666666665
STRETCHEDSOCIETY_BLOCK_104_MAC004481,0.8333333333333334,1.78,-0.7783333333333333
STRETCHEDSOCIETY_BLOCK_100_MAC002824,0.9100000000000001,16.00166666666667,-6.126666666666668
STRETCHEDSOCIETY_BLOCK_108_MAC005528,1.3316666666666668,3.8000000000000003,0.0
ESTABLISHEDAFFLUENCE_BLOCK_31_MAC001378,1.3633333333333333,3.276666666666667,-1.7249999999999999
ESTABLISHEDAFFLUENCE_BLOCK_40_MAC005359,2.2533333333333334,-2.7899999999999996,0.6333333333333333
STRETCHEDSOCIETY_BLOCK_96_MAC001188,2.598333333333333,-4.37,5.62
ESTABLISHEDAFFLUENCE_BLOCK_32_MAC002686,4.041666666666667,9.501666666666667,-1.0199999999999998
STRETCHEDSOCIETY_BLOCK_98_MAC004064,4.166666666666667,6.273333333333333,0.6866666666666665
ESTABLISHEDAFFLUENCE_BLOCK_33_MAC000351,4.331666666666667,3.03,7.3566666666666665
STRETCHEDSOCIETY_BLOCK_95_MAC000006,5.236666666666667,4.29,3.7633333333333336
STRETCHEDSOCIETY_BLOCK_102_MAC003980,5.6499999999999995,8.036666666666667,3.601666666666667
ESTABLISHEDAFFLUENCE_BLOCK_27_MAC005235,6.031666666666666,7.246666666666666,-0.02333333333333254
ESTABLISHEDAFFLUENCE_BLOCK_10_MAC002036,7.406666666666666,9.858333333333334,3.92
ESTABLISHEDAFFLUENCE_BLOCK_40_MAC000459,7.636666666666667,8.635,2.2933333333333334
ESTABLISHEDAFFLUENCE_BLOCK_14_MAC002635,9.14,18.605,6.1499999999999995
STRETCHEDSOCIETY_BLOCK_100_MAC002856,9.366666666666667,3.5366666666666666,14.031666666666666
STRETCHEDSOCIETY_BLOCK_107_MAC001785,9.42,8.196666666666667,4.0600000000000005
ESTABLISHEDAFFLUENCE_BLOCK_37_MAC000861,9.815,9.94,4.864999999999999
STRETCHEDSOCIETY_BLOCK_106_MAC000653,11.020000000000001,3.806666666666667,16.093333333333334
STRETCHEDSOCIETY_BLOCK_107_MAC001744,11.471666666666666,3.1483333333333334,13.378333333333332
STRETCHEDSOCIETY_BLOCK_99_MAC004771,12.708333333333334,-4.343333333333333,17.893333333333334
ESTABLISHEDAFFLUENCE_BLOCK_17_MAC002007,15.716,1.658,9.84
ESTABLISHEDAFFLUENCE_BLOCK_10_MAC001869,17.122,1.8259999999999998,10.218
ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,18.081666666666667,26.415000000000003,14.256666666666666
ESTABLISHEDAFFLUENCE_BLOCK_18_MAC005491,22.423333333333332,14.065,15.843333333333334
ESTABLISHEDAFFLUENCE_BLOCK_11_MAC001980,39.06333333333333,44.678333333333335,23.438333333333333
