,House_Hold,MAE,MAPE,SMAPE,RMSE,Time_execution,Model_covariates,MAE_variation,SMAPE_variation,RMSE_variation,MAE_pct,SMAPE_pct,RMSE_pct
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,989939.44,1.058,0.15,265.43s,dayofweek_num,0.0,-0.04400000000000004,-0.0040000000000000036,0.0,-3.99,-2.6
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.054,508220.47,0.975,0.13,265.51s,hour,-0.016000000000000007,-0.1270000000000001,-0.023999999999999994,-22.86,-11.52,-15.58
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.069,822453.44,1.084,0.152,301.24s,holiday,-0.0010000000000000009,-0.018000000000000016,-0.0020000000000000018,-1.43,-1.63,-1.3
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,990743.3,1.054,0.151,287.98s,precipType,0.0,-0.04800000000000004,-0.0030000000000000027,0.0,-4.36,-1.95
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.075,1539828.8,1.043,0.147,260.72s,month,0.0049999999999999906,-0.05900000000000016,-0.007000000000000006,7.14,-5.35,-4.55
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,805570.3,1.102,0.154,258.31s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,0.07,936475.1,1.064,0.152,250.42s,bool_weather_missing_values,0.0,-0.038000000000000034,-0.0020000000000000018,0.0,-3.45,-1.3
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,308873.4,0.853,0.053,394.94s,dayofweek_num,0.0010000000000000009,0.03300000000000003,-0.0010000000000000009,3.57,4.02,-1.85
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.019,617101.1,0.555,0.046,523.53s,hour,-0.009000000000000001,-0.2649999999999999,-0.008,-32.14,-32.32,-14.81
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,194952.03,0.898,0.055,274.38s,holiday,0.0010000000000000009,0.07800000000000007,0.0010000000000000009,3.57,9.51,1.85
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.027,237182.92,0.811,0.054,698.41s,precipType,-0.0010000000000000009,-0.008999999999999897,0.0,-3.57,-1.1,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,253306.12,0.837,0.054,282.24s,month,0.0010000000000000009,0.017000000000000015,0.0,3.57,2.07,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.028,232083.31,0.82,0.054,376.11s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,0.029,247489.9,0.839,0.055,274.33s,bool_weather_missing_values,0.0010000000000000009,0.019000000000000017,0.0010000000000000009,3.57,2.32,1.85
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.168,0.358,0.284,0.217,354.63s,dayofweek_num,-0.027999999999999997,-0.03500000000000003,-0.06899999999999998,-14.29,-10.97,-24.13
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.174,0.338,0.284,0.261,286.72s,hour,-0.02200000000000002,-0.03500000000000003,-0.024999999999999967,-11.22,-10.97,-8.74
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.192,0.353,0.319,0.3,255.95s,holiday,-0.0040000000000000036,0.0,0.014000000000000012,-2.04,0.0,4.9
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.192,0.371,0.318,0.293,285.65s,precipType,-0.0040000000000000036,-0.0010000000000000009,0.007000000000000006,-2.04,-0.31,2.45
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.182,0.338,0.297,0.277,610.08s,month,-0.014000000000000012,-0.02200000000000002,-0.008999999999999952,-7.14,-6.9,-3.15
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.196,0.391,0.319,0.286,355.82s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,0.192,0.346,0.318,0.302,253.50s,bool_weather_missing_values,-0.0040000000000000036,-0.0010000000000000009,0.016000000000000014,-2.04,-0.31,5.59
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,0.4,1.036,0.616,0.61,829.83s,dayofweek_num,0.03500000000000003,0.03300000000000003,0.05699999999999994,9.59,5.66,10.31
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,0.338,0.929,0.555,0.491,269.70s,hour,-0.02699999999999997,-0.027999999999999914,-0.062000000000000055,-7.4,-4.8,-11.21
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,0.505,1.363,0.912,0.711,335.27s,holiday,0.14,0.32900000000000007,0.15799999999999992,38.36,56.43,28.57
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,0.479,1.102,0.865,0.693,296.36s,precipType,0.11399999999999999,0.28200000000000003,0.1399999999999999,31.23,48.37,25.32
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,0.365,1.129,0.595,0.524,386.37s,month,0.0,0.01200000000000001,-0.029000000000000026,0.0,2.06,-5.24
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,0.365,1.056,0.583,0.553,327.33s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,0.499,0.725,0.879,0.762,289.71s,bool_weather_missing_values,0.134,0.29600000000000004,0.20899999999999996,36.71,50.77,37.79
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,0.052,0.358,0.295,0.106,413.29s,dayofweek_num,-0.025,-0.23200000000000004,-0.023000000000000007,-32.47,-44.02,-17.83
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,0.073,0.967,0.468,0.123,304.43s,hour,-0.0040000000000000036,-0.059,-0.006000000000000005,-5.19,-11.2,-4.65
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,0.077,0.601,0.538,0.123,248.59s,holiday,0.0,0.01100000000000001,-0.006000000000000005,0.0,2.09,-4.65
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,0.076,0.559,0.526,0.124,256.39s,precipType,-0.0010000000000000009,-0.0010000000000000009,-0.0050000000000000044,-1.3,-0.19,-3.88
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,0.084,0.791,0.592,0.119,259.47s,month,0.007000000000000006,0.06499999999999995,-0.010000000000000009,9.09,12.33,-7.75
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,0.077,0.515,0.527,0.129,256.92s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,0.077,0.604,0.539,0.123,251.64s,bool_weather_missing_values,0.0,0.01200000000000001,-0.006000000000000005,0.0,2.28,-4.65
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0.085,2.107,0.683,0.139,283.94s,dayofweek_num,0.0050000000000000044,-0.04599999999999993,0.017000000000000015,6.25,-6.31,13.93
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0.093,2.37,0.713,0.148,408.55s,hour,0.012999999999999998,-0.016000000000000014,0.025999999999999995,16.25,-2.19,21.31
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0.096,2.115,0.737,0.147,503.92s,holiday,0.016,0.008000000000000007,0.024999999999999994,20.0,1.1,20.49
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0.086,2.188,0.664,0.141,341.25s,precipType,0.0059999999999999915,-0.06499999999999995,0.01899999999999999,7.5,-8.92,15.57
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0.088,1.975,0.683,0.141,490.50s,month,0.007999999999999993,-0.04599999999999993,0.01899999999999999,10.0,-6.31,15.57
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0.08,1.392,0.729,0.122,243.36s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0.093,2.368,0.704,0.147,572.18s,bool_weather_missing_values,0.012999999999999998,-0.025000000000000022,0.024999999999999994,16.25,-3.43,20.49
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,0.082,0.44,0.341,0.119,324.52s,dayofweek_num,-0.013999999999999999,-0.05399999999999999,-0.01200000000000001,-14.58,-13.67,-9.16
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,0.08,0.449,0.354,0.117,258.18s,hour,-0.016,-0.041000000000000036,-0.013999999999999999,-16.67,-10.38,-10.69
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,0.099,0.552,0.415,0.141,409.93s,holiday,0.0030000000000000027,0.019999999999999962,0.009999999999999981,3.12,5.06,7.63
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,0.09,0.55,0.383,0.131,280.50s,precipType,-0.006000000000000005,-0.01200000000000001,0.0,-6.25,-3.04,0.0
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,0.082,0.45,0.357,0.121,281.61s,month,-0.013999999999999999,-0.038000000000000034,-0.010000000000000009,-14.58,-9.62,-7.63
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,0.096,0.653,0.395,0.131,294.30s,#,0.0,0.0,0.0,0.0,0.0,0.0
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,0.097,0.672,0.392,0.135,364.87s,bool_weather_missing_values,0.0010000000000000009,-0.0030000000000000027,0.0040000000000000036,1.04,-0.76,3.05
0,ESTABLISHEDAFFLUENCE_BLOCK_27_MAC005235,0.939,0.794,0.643,1.367,542.14s,dayofweek_num,-0.07799999999999996,-0.05399999999999994,-0.11099999999999999,-7.67,-7.75,-7.51
0,ESTABLISHEDAFFLUENCE_BLOCK_27_MAC005235,0.736,0.792,0.546,1.105,306.77s,hour,-0.2809999999999999,-0.1509999999999999,-0.373,-27.63,-21.66,-25.24
