time_idx,Real,predict
9985,1.249,1.259
9986,0.271,0.242
9987,0.259,0.308
9988,0.279,0.28
9989,0.572,0.251
9990,0.621,0.246
9991,0.194,0.243
9992,0.263,0.241
9993,1.178,0.244
9994,1.561,0.432
9995,1.351,1.419
9996,0.212,1.596
9997,0.775,1.122
9998,1.948,0.44
9999,1.035,0.591
10000,1.013,1.049
10001,1.883,1.46
10002,2.006,1.674
10003,2.152,1.469
10004,2.227,1.691
10005,2.187,2.15
10006,2.135,2.14
10007,1.511,1.967
10008,0.222,1.996
10009,0.304,1.352
10010,0.884,0.188
10011,0.259,0.285
10012,0.211,0.269
10013,0.232,0.25
10014,0.247,0.244
10015,0.489,0.242
10016,1.583,0.241
10017,1.734,0.244
10018,0.211,0.433
10019,0.226,1.423
10020,0.213,1.588
10021,0.222,1.076
10022,3.026,0.389
10023,1.976,0.608
10024,2.012,1.175
10025,1.969,1.611
10026,2.11,1.848
10027,1.29,1.708
10028,1.289,2.086
10029,1.26,2.258
10030,1.294,2.053
10031,1.28,1.827
10032,1.385,1.838
10033,0.247,0.654
10034,0.264,0.295
10035,0.686,0.272
10036,0.325,0.264
10037,0.211,0.248
10038,0.255,0.244
10039,0.209,0.242
10040,0.973,0.24
10041,1.847,0.271
10042,2.746,0.796
10043,2.198,1.758
10044,2.528,1.525
10045,0.507,0.749
10046,0.225,0.488
10047,0.227,0.751
10048,0.218,1.262
10049,0.233,1.515
10050,0.207,1.507
10051,0.598,1.851
10052,2.181,2.324
10053,1.552,2.157
10054,0.503,1.912
10055,0.561,1.9
10056,0.193,1.23
10057,0.303,0.215
10058,0.354,0.308
10059,0.6,0.275
10060,0.217,0.253
10061,0.291,0.246
10062,0.192,0.243
10063,0.255,0.242
10064,0.399,0.247
10065,1.71,0.53
10066,2.12,1.549
10067,0.52,1.389
10068,1.791,0.407
10069,2.25,0.546
10070,1.94,1.527
10071,0.846,1.676
10072,0.869,1.428
10073,1.406,1.409
10074,2.383,2.011
10075,2.307,2.179
10076,2.606,2.233
10077,2.116,2.104
10078,2.138,1.924
10079,2.154,1.231
10080,0.666,0.224
10081,0.245,0.308
10082,0.276,0.275
10083,0.615,0.251
10084,0.214,0.246
10085,0.261,0.243
10086,0.25,0.242
10087,0.284,0.246
10088,0.36,0.48
10089,1.356,1.506
10090,2.021,1.471
10091,0.965,0.575
10092,0.83,0.477
10093,1.291,0.879
10094,0.965,1.715
10095,0.237,1.796
10096,1.747,1.714
10097,1.903,2.054
10098,1.939,2.329
10099,1.869,2.114
10100,1.914,1.857
10101,2.566,1.898
10102,1.919,1.177
10103,0.547,0.217
10104,0.255,0.298
10105,0.655,0.273
10106,0.264,0.253
10107,0.221,0.246
10108,0.288,0.243
10109,0.212,0.242
10110,0.317,0.249
10111,0.192,0.572
10112,0.435,1.576
10113,1.226,1.332
10114,1.954,0.372
10115,2.136,0.591
10116,3.468,1.728
10117,2.943,1.637
10118,1.867,0.901
10119,1.29,0.765
10120,0.506,1.327
10121,0.554,1.323
10122,1.084,0.895
10123,2.022,0.96
10124,1.925,0.875
10125,2.106,1.069
10126,1.935,0.707
10127,1.536,0.654
10128,0.347,0.341
10129,0.397,0.309
10130,0.728,0.258
10131,0.429,0.248
10132,0.195,0.242
10133,0.262,0.238
10134,0.212,0.315
10135,0.255,1.093
10136,0.404,1.94
10137,1.293,1.901
10138,1.756,1.776
10139,1.259,1.731
10140,1.563,2.206
10141,3.064,2.316
10142,1.933,2.099
10143,1.931,1.996
10144,1.97,2.072
10145,1.921,2.092
10146,1.974,2.016
10147,1.885,1.955
10148,1.389,1.675
10149,1.219,0.362
10150,1.246,0.287
10151,1.13,0.277
10152,0.149,0.257
