time_idx,Real,predict
9985,0.097,0.093
9986,0.109,0.088
9987,0.086,0.09
9988,0.252,0.085
9989,0.087,0.088
9990,0.085,0.091
9991,0.178,0.085
9992,0.073,0.095
9993,0.082,0.2
9994,0.341,0.498
9995,0.18,0.281
9996,0.099,0.264
9997,0.212,0.138
9998,0.352,0.066
9999,0.726,0.083
10000,0.805,0.09
10001,0.284,0.369
10002,0.454,0.483
10003,0.294,0.329
10004,0.53,0.458
10005,0.497,0.431
10006,0.255,0.528
10007,0.105,0.215
10008,0.087,0.094
10009,0.086,0.091
10010,0.068,0.088
10011,0.082,0.084
10012,0.077,0.081
10013,0.073,0.085
10014,0.064,0.085
10015,0.086,0.076
10016,0.313,0.156
10017,0.649,0.409
10018,0.292,0.285
10019,1.193,0.261
10020,0.919,0.144
10021,0.164,0.07
10022,0.245,0.081
10023,0.305,0.089
10024,0.222,0.298
10025,0.279,0.638
10026,0.303,0.282
10027,0.528,0.421
10028,0.34,0.556
10029,0.31,0.428
10030,0.336,0.487
10031,0.582,0.305
10032,0.201,0.097
10033,0.089,0.089
10034,0.089,0.094
10035,0.089,0.085
10036,0.073,0.081
10037,0.075,0.083
10038,0.064,0.086
10039,0.088,0.085
10040,0.061,0.193
10041,0.066,0.474
10042,0.612,0.287
10043,0.188,0.257
10044,0.08,0.219
10045,0.056,0.152
10046,0.181,0.102
10047,0.149,0.092
10048,0.67,0.364
10049,0.376,0.617
10050,0.335,0.405
10051,0.349,0.482
10052,0.455,0.415
10053,0.339,0.506
10054,0.469,0.41
10055,0.12,0.358
10056,0.089,0.158
10057,0.088,0.083
10058,0.067,0.086
10059,0.084,0.085
10060,0.078,0.086
10061,0.082,0.085
10062,0.267,0.087
10063,0.438,0.089
10064,0.271,0.093
10065,0.391,0.205
10066,0.078,0.479
10067,0.258,0.291
10068,0.634,0.268
10069,0.059,0.177
10070,0.144,0.09
10071,0.566,0.089
10072,0.289,0.091
10073,0.282,0.423
10074,0.271,0.482
10075,0.293,0.394
10076,0.365,0.468
10077,0.421,0.396
10078,0.411,0.529
10079,0.132,0.206
10080,0.088,0.088
10081,0.087,0.094
10082,0.083,0.088
10083,0.066,0.088
10084,0.086,0.085
10085,0.087,0.088
10086,0.087,0.089
10087,0.198,0.079
10088,0.296,0.129
10089,0.132,0.277
10090,0.09,0.403
10091,0.057,0.334
10092,0.062,0.212
10093,0.073,0.118
10094,0.087,0.087
10095,0.897,0.084
10096,0.146,0.101
10097,0.433,0.74
10098,1.0,0.331
10099,0.307,0.384
10100,0.298,0.486
10101,0.282,0.389
10102,0.484,0.544
10103,0.13,0.181
10104,0.086,0.082
10105,0.09,0.095
10106,0.136,0.091
10107,0.083,0.089
10108,0.068,0.084
10109,0.088,0.087
10110,0.086,0.09
10111,0.177,0.082
10112,0.071,0.164
10113,0.271,0.424
10114,0.102,0.287
10115,0.722,0.265
10116,0.15,0.149
10117,0.059,0.067
10118,0.14,0.082
10119,0.156,0.09
10120,0.307,0.34
10121,0.123,0.536
10122,0.545,0.306
10123,0.661,0.441
10124,0.394,0.506
10125,0.495,0.448
10126,0.378,0.348
10127,0.159,0.258
10128,0.086,0.099
10129,0.088,0.082
10130,0.087,0.085
10131,0.062,0.082
10132,0.086,0.082
10133,0.086,0.083
10134,0.062,0.082
10135,0.184,0.086
10136,0.357,0.218
10137,0.728,0.447
10138,0.465,0.306
10139,0.227,0.268
10140,0.152,0.188
10141,0.248,0.096
10142,0.265,0.091
10143,0.088,0.095
10144,0.231,0.477
10145,0.445,0.47
10146,0.37,0.438
10147,0.91,0.444
10148,0.31,0.374
10149,0.567,0.536
10150,0.389,0.158
10151,0.24,0.084
10152,0.031,0.096
