time_idx,Real,predict
9985,0.097,0.114
9986,0.105,0.104
9987,0.125,0.108
9988,0.101,0.099
9989,0.098,0.097
9990,0.092,0.093
9991,0.144,0.168
9992,0.191,0.223
9993,0.536,0.146
9994,0.372,0.101
9995,0.133,0.106
9996,0.106,0.121
9997,0.183,0.15
9998,0.255,0.143
9999,0.169,0.107
10000,0.174,0.133
10001,0.168,0.189
10002,0.238,0.224
10003,0.289,0.326
10004,0.312,0.299
10005,0.36,0.402
10006,0.377,0.321
10007,0.144,0.159
10008,0.101,0.106
10009,0.101,0.116
10010,0.115,0.104
10011,0.1,0.108
10012,0.085,0.1
10013,0.104,0.097
10014,0.126,0.093
10015,0.134,0.167
10016,0.228,0.223
10017,0.16,0.147
10018,0.133,0.101
10019,0.383,0.106
10020,0.147,0.121
10021,0.141,0.151
10022,0.195,0.144
10023,0.136,0.106
10024,0.138,0.133
10025,0.163,0.19
10026,0.309,0.225
10027,0.321,0.325
10028,0.292,0.3
10029,0.378,0.402
10030,0.369,0.322
10031,0.154,0.159
10032,0.117,0.106
10033,0.09,0.116
10034,0.106,0.104
10035,0.121,0.108
10036,0.112,0.1
10037,0.114,0.097
10038,0.114,0.093
10039,0.144,0.167
10040,0.223,0.223
10041,0.148,0.147
10042,0.116,0.101
10043,0.107,0.106
10044,0.113,0.121
10045,0.124,0.151
10046,0.175,0.144
10047,0.167,0.106
10048,0.16,0.134
10049,0.176,0.19
10050,0.219,0.226
10051,0.272,0.325
10052,0.293,0.3
10053,0.35,0.402
10054,0.347,0.322
10055,0.189,0.159
10056,0.14,0.106
10057,0.121,0.116
10058,0.121,0.104
10059,0.13,0.108
10060,0.128,0.1
10061,0.15,0.097
10062,0.118,0.093
10063,0.168,0.167
10064,0.2,0.223
10065,0.201,0.147
10066,0.115,0.101
10067,0.142,0.106
10068,0.125,0.121
10069,0.158,0.151
10070,0.17,0.144
10071,0.153,0.106
10072,0.188,0.134
10073,0.241,0.19
10074,0.229,0.226
10075,0.321,0.325
10076,0.315,0.3
10077,0.411,0.402
10078,0.261,0.322
10079,0.164,0.159
10080,0.135,0.106
10081,0.128,0.116
10082,0.117,0.104
10083,0.111,0.108
10084,0.106,0.1
10085,0.117,0.097
10086,0.092,0.093
10087,0.163,0.167
10088,0.19,0.223
10089,0.117,0.147
10090,0.106,0.101
10091,0.122,0.106
10092,0.102,0.121
10093,0.159,0.151
10094,0.173,0.144
10095,0.163,0.106
10096,0.116,0.134
10097,0.176,0.19
10098,0.235,0.226
10099,0.333,0.325
10100,0.317,0.3
10101,0.421,0.402
10102,0.299,0.322
10103,0.16,0.159
10104,0.102,0.106
10105,0.116,0.116
10106,0.095,0.104
10107,0.106,0.108
10108,0.109,0.1
10109,0.097,0.097
10110,0.11,0.093
10111,0.139,0.167
10112,0.194,0.223
10113,0.585,0.147
10114,0.316,0.101
10115,0.101,0.106
10116,0.134,0.121
10117,0.136,0.151
10118,0.173,0.144
10119,0.209,0.106
10120,0.142,0.134
10121,0.17,0.19
10122,0.213,0.226
10123,0.333,0.325
10124,0.301,0.3
10125,0.372,0.402
10126,0.33,0.322
10127,0.202,0.159
10128,0.118,0.106
10129,0.135,0.116
10130,0.129,0.104
10131,0.112,0.108
10132,0.09,0.1
10133,0.148,0.097
10134,0.084,0.093
10135,0.145,0.167
10136,0.133,0.223
10137,0.185,0.147
10138,0.106,0.101
10139,0.115,0.106
10140,0.141,0.121
10141,0.118,0.151
10142,0.116,0.144
10143,0.137,0.106
10144,0.154,0.134
10145,0.158,0.19
10146,0.213,0.226
10147,0.316,0.325
10148,0.26,0.3
10149,0.389,0.402
10150,0.34,0.322
10151,0.157,0.159
10152,0.06,0.106
