time_idx,Real,predict
9985,0.393,0.368
9986,0.178,0.316
9987,0.124,0.231
9988,0.203,0.205
9989,0.132,0.193
9990,0.185,0.215
9991,0.293,0.276
9992,1.211,0.451
9993,0.555,0.548
9994,0.435,0.376
9995,0.529,0.237
9996,0.138,0.217
9997,0.299,0.218
9998,0.883,0.343
9999,0.64,0.476
10000,0.707,0.502
10001,0.599,0.609
10002,0.893,0.731
10003,0.609,0.693
10004,0.62,0.645
10005,0.588,0.598
10006,0.355,0.509
10007,0.149,0.324
10008,0.193,0.268
10009,0.186,0.309
10010,0.304,0.298
10011,0.313,0.231
10012,0.102,0.208
10013,0.191,0.196
10014,0.181,0.218
10015,0.247,0.288
10016,0.454,0.456
10017,0.31,0.51
10018,0.779,0.338
10019,0.375,0.225
10020,0.483,0.213
10021,0.582,0.226
10022,0.386,0.375
10023,0.93,0.479
10024,0.473,0.515
10025,0.59,0.633
10026,0.508,0.737
10027,0.602,0.685
10028,0.606,0.638
10029,0.688,0.593
10030,0.3,0.481
10031,0.439,0.304
10032,0.449,0.27
10033,0.317,0.316
10034,0.339,0.287
10035,0.295,0.225
10036,0.189,0.204
10037,0.131,0.197
10038,0.173,0.224
10039,0.292,0.314
10040,0.491,0.483
10041,0.339,0.489
10042,0.293,0.313
10043,0.424,0.22
10044,0.602,0.211
10045,1.964,0.24
10046,0.823,0.407
10047,1.182,0.477
10048,0.509,0.529
10049,0.376,0.66
10050,0.611,0.736
10051,0.704,0.677
10052,0.562,0.631
10053,0.602,0.587
10054,0.472,0.452
10055,0.627,0.292
10056,0.436,0.272
10057,0.16,0.318
10058,0.106,0.274
10059,0.206,0.222
10060,0.18,0.201
10061,0.101,0.2
10062,0.222,0.231
10063,0.276,0.342
10064,0.441,0.505
10065,1.111,0.457
10066,0.429,0.288
10067,0.135,0.217
10068,0.168,0.209
10069,0.195,0.258
10070,0.636,0.434
10071,0.992,0.477
10072,0.677,0.543
10073,0.742,0.683
10074,1.032,0.731
10075,0.619,0.671
10076,0.644,0.624
10077,0.332,0.577
10078,0.352,0.421
10079,0.311,0.283
10080,0.344,0.278
10081,0.513,0.317
10082,0.187,0.263
10083,0.085,0.218
10084,0.202,0.198
10085,0.172,0.204
10086,0.143,0.24
10087,0.293,0.371
10088,0.435,0.519
10089,0.36,0.424
10090,0.274,0.266
10091,0.253,0.216
10092,0.2,0.209
10093,0.216,0.28
10094,0.277,0.455
10095,0.753,0.48
10096,0.607,0.558
10097,0.848,0.704
10098,1.319,0.722
10099,0.7,0.664
10100,0.684,0.616
10101,0.455,0.561
10102,0.51,0.388
10103,0.239,0.276
10104,0.383,0.286
10105,0.448,0.314
10106,0.199,0.252
10107,0.101,0.215
10108,0.186,0.196
10109,0.183,0.208
10110,0.145,0.251
10111,0.285,0.399
10112,0.949,0.526
10113,0.677,0.394
10114,0.541,0.248
10115,0.792,0.216
10116,0.775,0.211
10117,0.459,0.306
10118,0.498,0.469
10119,0.459,0.487
10120,0.278,0.577
10121,0.551,0.72
10122,0.875,0.711
10123,0.646,0.657
10124,0.66,0.608
10125,0.623,0.539
10126,0.497,0.355
10127,0.307,0.271
10128,0.403,0.298
10129,0.483,0.309
10130,0.261,0.242
10131,0.199,0.212
10132,0.2,0.195
10133,0.202,0.212
10134,0.24,0.265
10135,0.295,0.425
10136,0.553,0.524
10137,0.384,0.368
10138,0.254,0.236
10139,0.145,0.215
10140,0.197,0.216
10141,0.187,0.336
10142,0.409,0.476
10143,0.69,0.498
10144,0.557,0.601
10145,0.403,0.731
10146,0.74,0.699
10147,0.698,0.649
10148,0.647,0.6
10149,0.595,0.513
10150,0.426,0.328
10151,0.379,0.269
10152,0.219,0.308
