time_idx,Real,predict
9985,0.804,0.186
9986,0.422,0.152
9987,0.163,0.152
9988,0.145,0.163
9989,0.093,0.175
9990,0.101,0.193
9991,0.327,0.216
9992,0.677,0.239
9993,0.569,0.252
9994,0.262,0.255
9995,0.391,0.253
9996,0.276,0.25
9997,0.101,0.251
9998,0.084,0.255
9999,0.374,0.265
10000,0.148,0.277
10001,0.504,0.292
10002,0.581,0.305
10003,0.416,0.315
10004,1.362,0.318
10005,0.94,0.312
10006,0.278,0.298
10007,0.712,0.28
10008,0.295,0.275
10009,0.63,0.216
10010,0.206,0.095
10011,0.116,0.101
10012,0.085,0.094
10013,0.094,0.11
10014,0.215,0.139
10015,0.143,0.17
10016,0.142,0.204
10017,0.42,0.234
10018,0.298,0.259
10019,0.181,0.278
10020,0.187,0.29
10021,0.229,0.296
10022,0.325,0.3
10023,0.422,0.301
10024,0.59,0.302
10025,0.55,0.302
10026,0.289,0.302
10027,0.588,0.303
10028,0.459,0.304
10029,0.65,0.305
10030,0.323,0.305
10031,0.312,0.306
10032,0.505,0.298
10033,0.106,0.179
10034,0.209,0.147
10035,0.134,0.146
10036,0.083,0.152
10037,0.088,0.162
10038,0.11,0.174
10039,0.485,0.188
10040,0.431,0.204
10041,0.092,0.22
10042,0.663,0.238
10043,0.275,0.257
10044,0.425,0.276
10045,0.124,0.294
10046,0.67,0.31
10047,0.451,0.323
10048,0.467,0.332
10049,0.734,0.339
10050,0.512,0.344
10051,0.42,0.347
10052,0.424,0.35
10053,0.488,0.352
10054,0.715,0.352
10055,0.272,0.352
10056,0.2,0.34
10057,0.157,0.294
10058,0.121,0.187
10059,0.109,0.132
10060,0.09,0.099
10061,0.09,0.105
10062,0.137,0.132
10063,0.112,0.167
10064,0.404,0.194
10065,0.962,0.206
10066,0.163,0.208
10067,0.127,0.207
10068,0.134,0.207
10069,0.108,0.21
10070,0.875,0.221
10071,1.553,0.238
10072,0.526,0.266
10073,0.313,0.307
10074,1.016,0.349
10075,0.341,0.381
10076,0.303,0.404
10077,0.604,0.415
10078,1.123,0.412
10079,0.197,0.396
10080,0.142,0.305
10081,0.338,0.196
10082,0.076,0.187
10083,0.088,0.156
10084,0.099,0.125
10085,0.089,0.122
10086,0.213,0.134
10087,0.174,0.152
10088,0.399,0.174
10089,0.228,0.198
10090,0.282,0.221
10091,0.196,0.243
10092,0.115,0.262
10093,0.171,0.278
10094,0.11,0.291
10095,0.448,0.3
10096,0.147,0.307
10097,0.499,0.313
10098,0.856,0.317
10099,0.479,0.32
10100,0.321,0.322
10101,0.463,0.323
10102,0.554,0.324
10103,0.46,0.324
10104,0.341,0.274
10105,0.237,0.171
10106,0.549,0.133
10107,0.527,0.103
10108,0.175,0.1
10109,0.14,0.107
10110,0.106,0.129
10111,0.107,0.182
10112,0.42,0.265
10113,0.384,0.304
10114,0.314,0.248
10115,0.176,0.171
10116,0.114,0.151
10117,0.244,0.146
10118,0.303,0.2
10119,0.347,0.261
10120,0.15,0.283
10121,0.2,0.265
10122,0.199,0.242
10123,0.328,0.268
10124,0.22,0.331
10125,0.78,0.361
10126,1.002,0.354
10127,0.655,0.33
10128,0.484,0.235
10129,1.529,0.16
10130,0.624,0.103
10131,0.257,0.087
10132,0.09,0.108
10133,0.097,0.15
10134,0.128,0.202
10135,0.307,0.252
10136,0.389,0.286
10137,0.262,0.277
10138,0.177,0.223
10139,0.129,0.175
10140,0.112,0.159
10141,0.512,0.17
10142,0.678,0.2
10143,0.291,0.238
10144,0.366,0.274
10145,0.128,0.307
10146,0.423,0.333
10147,0.322,0.351
10148,0.517,0.361
10149,0.641,0.361
10150,0.544,0.355
10151,0.519,0.347
10152,0.352,0.218
