time_idx,Real,predict
9985,0.641,0.511
9986,0.215,0.171
9987,0.251,0.133
9988,0.209,0.185
9989,0.206,0.258
9990,0.433,0.345
9991,0.443,0.444
9992,0.436,0.507
9993,0.246,0.643
9994,0.206,0.978
9995,0.37,1.22
9996,0.551,1.15
9997,1.224,0.961
9998,0.773,0.71
9999,0.63,0.531
10000,0.462,0.575
10001,1.95,0.835
10002,2.161,1.31
10003,2.085,1.854
10004,2.09,2.034
10005,2.453,1.63
10006,2.983,1.452
10007,1.107,1.506
10008,1.189,1.002
10009,0.627,0.454
10010,0.518,0.192
10011,0.195,0.173
10012,0.189,0.185
10013,0.198,0.192
10014,0.404,0.408
10015,0.432,0.458
10016,0.42,0.578
10017,0.408,0.251
10018,0.299,0.3
10019,0.417,0.627
10020,0.3,1.118
10021,0.48,0.965
10022,0.509,1.053
10023,0.791,0.975
10024,0.987,0.972
10025,1.376,1.147
10026,2.079,1.52
10027,2.101,1.899
10028,2.04,2.176
10029,1.701,1.734
10030,1.392,1.473
10031,1.234,1.492
10032,0.701,0.997
10033,0.307,0.484
10034,0.133,0.191
10035,0.132,0.167
10036,0.141,0.181
10037,0.141,0.184
10038,0.178,0.419
10039,0.373,0.465
10040,0.36,0.57
10041,0.35,0.218
10042,1.06,0.296
10043,1.331,0.661
10044,1.623,1.065
10045,1.67,1.068
10046,0.999,1.201
10047,0.231,1.173
10048,0.234,1.245
10049,0.589,1.452
10050,2.184,1.764
10051,1.918,2.031
10052,2.069,2.048
10053,1.884,1.479
10054,1.28,1.373
10055,1.251,1.383
10056,0.644,0.95
10057,0.432,0.426
10058,0.229,0.188
10059,0.17,0.179
10060,0.133,0.178
10061,0.133,0.196
10062,0.364,0.42
10063,0.444,0.447
10064,0.458,0.499
10065,0.177,0.308
10066,0.165,0.425
10067,0.251,1.052
10068,0.346,0.789
10069,0.431,0.903
10070,1.038,0.746
10071,0.251,0.639
10072,0.21,0.734
10073,0.301,1.086
10074,2.473,1.537
10075,3.658,2.024
10076,2.441,2.266
10077,2.237,1.747
10078,1.644,1.49
10079,1.892,1.537
10080,1.761,0.929
10081,0.694,0.407
10082,0.186,0.177
10083,0.166,0.163
10084,0.22,0.179
10085,0.174,0.185
10086,0.372,0.417
10087,0.436,0.472
10088,0.666,0.576
10089,0.463,0.22
10090,0.442,0.295
10091,0.452,0.592
10092,0.37,1.126
10093,0.41,0.942
10094,0.394,1.001
10095,0.212,0.918
10096,1.143,0.905
10097,1.55,1.104
10098,2.875,1.512
10099,1.984,1.916
10100,1.241,2.199
10101,1.23,1.736
10102,0.946,1.491
10103,1.287,1.507
10104,0.415,0.977
10105,0.164,0.464
10106,0.151,0.187
10107,0.135,0.165
10108,0.144,0.18
10109,0.148,0.184
10110,0.379,0.418
10111,0.439,0.468
10112,0.419,0.578
10113,0.143,0.219
10114,0.171,0.292
10115,0.127,0.594
10116,0.226,1.141
10117,0.544,0.945
10118,0.529,1.01
10119,0.438,0.933
10120,0.345,0.928
10121,1.173,1.132
10122,1.283,1.547
10123,1.23,1.942
10124,1.742,2.195
10125,1.745,1.712
10126,1.462,1.462
10127,1.263,1.492
10128,0.243,0.973
10129,0.122,0.457
10130,0.128,0.188
10131,0.17,0.165
10132,0.196,0.181
10133,0.196,0.184
10134,0.403,0.419
10135,0.535,0.467
10136,0.602,0.573
10137,0.205,0.217
10138,0.201,0.296
10139,0.382,0.665
10140,0.256,1.057
10141,0.768,1.072
10142,0.504,1.201
10143,0.578,1.167
10144,0.787,1.228
10145,0.804,1.424
10146,1.269,1.737
10147,1.542,2.012
10148,1.82,2.079
10149,1.275,1.509
10150,1.481,1.364
10151,1.818,1.415
10152,0.552,0.968
