time_idx,Real,predict
9985,0.203,0.223
9986,0.293,0.251
9987,0.201,0.209
9988,0.193,0.196
9989,0.138,0.12
9990,0.075,0.06
9991,0.074,0.086
9992,0.069,0.086
9993,0.067,0.071
9994,0.066,0.076
9995,0.069,0.115
9996,0.155,0.23
9997,0.253,0.193
9998,0.253,0.206
9999,0.17,0.169
10000,0.071,0.093
10001,0.196,0.162
10002,0.077,0.066
10003,0.069,0.142
10004,0.174,0.288
10005,0.322,0.269
10006,0.271,0.26
10007,0.233,0.241
10008,0.276,0.368
10009,0.315,0.245
10010,0.293,0.248
10011,0.215,0.21
10012,0.209,0.189
10013,0.128,0.105
10014,0.075,0.065
10015,0.078,0.089
10016,0.076,0.084
10017,0.065,0.071
10018,0.069,0.072
10019,0.068,0.111
10020,0.175,0.228
10021,0.277,0.195
10022,0.204,0.207
10023,0.1,0.173
10024,0.159,0.097
10025,0.169,0.161
10026,0.101,0.07
10027,0.147,0.133
10028,0.368,0.255
10029,0.342,0.294
10030,0.282,0.267
10031,0.228,0.239
10032,0.32,0.365
10033,0.257,0.25
10034,0.289,0.252
10035,0.23,0.21
10036,0.187,0.19
10037,0.128,0.103
10038,0.076,0.065
10039,0.074,0.088
10040,0.068,0.083
10041,0.067,0.071
10042,0.071,0.071
10043,0.076,0.104
10044,0.074,0.229
10045,0.117,0.198
10046,0.291,0.207
10047,0.158,0.176
10048,0.22,0.1
10049,0.139,0.16
10050,0.085,0.074
10051,0.141,0.123
10052,0.152,0.217
10053,0.333,0.32
10054,0.283,0.269
10055,0.259,0.24
10056,0.349,0.353
10057,0.249,0.265
10058,0.272,0.25
10059,0.199,0.211
10060,0.209,0.186
10061,0.12,0.097
10062,0.07,0.067
10063,0.066,0.088
10064,0.095,0.082
10065,0.105,0.071
10066,0.097,0.07
10067,0.365,0.102
10068,0.225,0.228
10069,0.213,0.199
10070,0.233,0.207
10071,0.165,0.178
10072,0.091,0.101
10073,0.209,0.159
10074,0.077,0.076
10075,0.07,0.118
10076,0.158,0.202
10077,0.34,0.327
10078,0.271,0.266
10079,0.22,0.242
10080,0.357,0.342
10081,0.276,0.28
10082,0.288,0.246
10083,0.198,0.211
10084,0.218,0.184
10085,0.117,0.096
10086,0.074,0.068
10087,0.182,0.088
10088,0.153,0.081
10089,0.081,0.071
10090,0.077,0.07
10091,0.08,0.103
10092,0.21,0.227
10093,0.21,0.199
10094,0.21,0.207
10095,0.176,0.178
10096,0.076,0.1
10097,0.167,0.159
10098,0.066,0.077
10099,0.15,0.116
10100,0.158,0.199
10101,0.319,0.328
10102,0.253,0.266
10103,0.296,0.242
10104,0.227,0.34
10105,0.356,0.283
10106,0.181,0.244
10107,0.109,0.211
10108,0.145,0.183
10109,0.087,0.094
10110,0.08,0.069
10111,0.173,0.088
10112,0.091,0.081
10113,0.067,0.071
10114,0.069,0.069
10115,0.202,0.104
10116,0.215,0.226
10117,0.205,0.199
10118,0.17,0.207
10119,0.091,0.178
10120,0.15,0.1
10121,0.095,0.16
10122,0.069,0.076
10123,0.079,0.118
10124,0.222,0.206
10125,0.413,0.326
10126,0.257,0.267
10127,0.267,0.241
10128,0.318,0.346
10129,0.22,0.275
10130,0.28,0.247
10131,0.283,0.21
10132,0.189,0.183
10133,0.133,0.092
10134,0.08,0.069
10135,0.072,0.088
10136,0.069,0.081
10137,0.071,0.071
10138,0.113,0.07
10139,0.121,0.105
10140,0.084,0.226
10141,0.167,0.198
10142,0.114,0.207
10143,0.085,0.177
10144,0.192,0.099
10145,0.094,0.16
10146,0.073,0.075
10147,0.077,0.121
10148,0.143,0.216
10149,0.323,0.321
10150,0.268,0.269
10151,0.253,0.239
10152,0.125,0.352
