time_idx,Real,predict
9985,0.641,0.485
9986,0.215,0.285
9987,0.251,0.189
9988,0.209,0.202
9989,0.206,0.204
9990,0.433,0.427
9991,0.443,0.509
9992,0.436,0.585
9993,0.246,0.287
9994,0.206,0.29
9995,0.37,0.415
9996,0.551,0.412
9997,1.224,0.577
9998,0.773,0.832
9999,0.63,0.711
10000,0.462,0.965
10001,1.95,1.277
10002,2.161,1.6
10003,2.085,1.695
10004,2.09,2.143
10005,2.453,1.61
10006,2.983,1.544
10007,1.107,1.453
10008,1.189,0.724
10009,0.627,0.253
10010,0.518,0.178
10011,0.195,0.184
10012,0.189,0.189
10013,0.198,0.189
10014,0.404,0.414
10015,0.432,0.506
10016,0.42,0.593
10017,0.408,0.291
10018,0.299,0.29
10019,0.417,0.413
10020,0.3,0.41
10021,0.48,0.571
10022,0.509,0.821
10023,0.791,0.701
10024,0.987,0.949
10025,1.376,1.262
10026,2.079,1.594
10027,2.101,1.684
10028,2.04,2.128
10029,1.701,1.606
10030,1.392,1.537
10031,1.234,1.447
10032,0.701,0.721
10033,0.307,0.252
10034,0.133,0.179
10035,0.132,0.184
10036,0.141,0.189
10037,0.141,0.189
10038,0.178,0.414
10039,0.373,0.506
10040,0.36,0.594
10041,0.35,0.291
10042,1.06,0.29
10043,1.331,0.414
10044,1.623,0.411
10045,1.67,0.573
10046,0.999,0.825
10047,0.231,0.704
10048,0.234,0.953
10049,0.589,1.266
10050,2.184,1.595
10051,1.918,1.687
10052,2.069,2.132
10053,1.884,1.607
10054,1.28,1.539
10055,1.251,1.449
10056,0.644,0.722
10057,0.432,0.252
10058,0.229,0.179
10059,0.17,0.184
10060,0.133,0.189
10061,0.133,0.189
10062,0.364,0.414
10063,0.444,0.506
10064,0.458,0.594
10065,0.177,0.291
10066,0.165,0.29
10067,0.251,0.414
10068,0.346,0.411
10069,0.431,0.573
10070,1.038,0.823
10071,0.251,0.703
10072,0.21,0.951
10073,0.301,1.264
10074,2.473,1.594
10075,3.658,1.686
10076,2.441,2.131
10077,2.237,1.607
10078,1.644,1.538
10079,1.892,1.448
10080,1.761,0.722
10081,0.694,0.252
10082,0.186,0.179
10083,0.166,0.184
10084,0.22,0.189
10085,0.174,0.189
10086,0.372,0.414
10087,0.436,0.506
10088,0.666,0.594
10089,0.463,0.291
10090,0.442,0.29
10091,0.452,0.414
10092,0.37,0.411
10093,0.41,0.573
10094,0.394,0.824
10095,0.212,0.703
10096,1.143,0.952
10097,1.55,1.265
10098,2.875,1.595
10099,1.984,1.686
10100,1.241,2.131
10101,1.23,1.607
10102,0.946,1.538
10103,1.287,1.448
10104,0.415,0.722
10105,0.164,0.252
10106,0.151,0.179
10107,0.135,0.184
10108,0.144,0.189
10109,0.148,0.189
10110,0.379,0.414
10111,0.439,0.506
10112,0.419,0.594
10113,0.143,0.291
10114,0.171,0.29
10115,0.127,0.414
10116,0.226,0.411
10117,0.544,0.573
10118,0.529,0.824
10119,0.438,0.703
10120,0.345,0.952
10121,1.173,1.265
10122,1.283,1.595
10123,1.23,1.686
10124,1.742,2.131
10125,1.745,1.607
10126,1.462,1.538
10127,1.263,1.448
10128,0.243,0.722
10129,0.122,0.252
10130,0.128,0.179
10131,0.17,0.184
10132,0.196,0.189
10133,0.196,0.189
10134,0.403,0.414
10135,0.535,0.506
10136,0.602,0.594
10137,0.205,0.291
10138,0.201,0.29
10139,0.382,0.414
10140,0.256,0.411
10141,0.768,0.573
10142,0.504,0.824
10143,0.578,0.703
10144,0.787,0.952
10145,0.804,1.265
10146,1.269,1.595
10147,1.542,1.686
10148,1.82,2.131
10149,1.275,1.607
10150,1.481,1.538
10151,1.818,1.448
10152,0.552,0.722
