time_idx,Real,predict
9985,0.074,0.075
9986,0.04,0.06
9987,0.036,0.051
9988,0.041,0.046
9989,0.036,0.042
9990,0.038,0.042
9991,0.032,0.044
9992,0.228,0.123
9993,0.117,0.121
9994,0.126,0.089
9995,0.114,0.084
9996,0.089,0.075
9997,0.192,0.058
9998,0.05,0.059
9999,0.05,0.069
10000,0.083,0.055
10001,0.082,0.054
10002,0.418,0.047
10003,0.141,0.09
10004,0.09,0.106
10005,0.085,0.103
10006,0.039,0.093
10007,0.035,0.06
10008,0.08,0.08
10009,0.084,0.083
10010,0.073,0.075
10011,0.074,0.052
10012,0.074,0.043
10013,0.095,0.037
10014,0.086,0.035
10015,0.078,0.038
10016,0.031,0.115
10017,0.07,0.111
10018,1.613,0.079
10019,0.033,0.072
10020,0.032,0.061
10021,0.034,0.051
10022,0.041,0.051
10023,0.564,0.064
10024,0.343,0.051
10025,0.153,0.05
10026,0.234,0.04
10027,0.202,0.08
10028,0.417,0.088
10029,0.352,0.083
10030,0.279,0.072
10031,0.256,0.05
10032,0.041,0.071
10033,0.082,0.078
10034,0.093,0.071
10035,0.093,0.049
10036,0.084,0.042
10037,0.036,0.035
10038,0.031,0.033
10039,0.031,0.037
10040,0.093,0.113
10041,0.042,0.107
10042,1.02,0.075
10043,0.109,0.068
10044,0.497,0.057
10045,0.463,0.049
10046,0.552,0.048
10047,0.187,0.062
10048,0.154,0.05
10049,0.123,0.049
10050,0.105,0.039
10051,0.435,0.077
10052,0.157,0.083
10053,0.79,0.078
10054,0.432,0.066
10055,0.276,0.048
10056,0.071,0.069
10057,0.045,0.076
10058,0.045,0.07
10059,0.041,0.049
10060,0.044,0.041
10061,0.039,0.034
10062,0.095,0.033
10063,0.167,0.036
10064,1.817,0.112
10065,0.459,0.106
10066,0.121,0.074
10067,0.032,0.067
10068,0.034,0.055
10069,0.032,0.048
10070,0.032,0.047
10071,0.047,0.062
10072,0.093,0.05
10073,0.089,0.048
10074,0.089,0.038
10075,0.043,0.077
10076,0.282,0.082
10077,0.375,0.077
10078,0.378,0.065
10079,0.38,0.048
10080,0.268,0.068
10081,0.069,0.076
10082,0.1,0.07
10083,0.097,0.049
10084,0.086,0.041
10085,0.042,0.034
10086,0.041,0.033
10087,0.161,0.036
10088,0.278,0.112
10089,0.031,0.106
10090,0.032,0.074
10091,0.032,0.067
10092,0.081,0.055
10093,0.086,0.048
10094,0.085,0.047
10095,0.058,0.062
10096,0.032,0.05
10097,0.031,0.048
10098,0.031,0.038
10099,0.035,0.076
10100,0.039,0.082
10101,0.036,0.076
10102,0.287,0.065
10103,0.384,0.047
10104,0.144,0.068
10105,0.094,0.076
10106,0.079,0.07
10107,0.039,0.049
10108,0.038,0.041
10109,0.034,0.034
10110,0.029,0.033
10111,0.029,0.036
10112,0.143,0.112
10113,0.085,0.106
10114,0.029,0.074
10115,0.059,0.067
10116,0.086,0.055
10117,0.084,0.048
10118,0.076,0.047
10119,0.03,0.062
10120,0.029,0.05
10121,0.03,0.048
10122,0.029,0.038
10123,0.029,0.076
10124,0.032,0.082
10125,0.034,0.076
10126,0.03,0.065
10127,0.049,0.047
10128,0.257,0.068
10129,0.119,0.076
10130,0.093,0.07
10131,0.041,0.049
10132,0.038,0.041
10133,0.033,0.034
10134,0.03,0.033
10135,0.124,0.036
10136,0.029,0.112
10137,0.03,0.106
10138,0.029,0.074
10139,0.03,0.067
10140,0.059,0.055
10141,0.087,0.048
10142,0.084,0.047
10143,0.075,0.062
10144,0.029,0.05
10145,0.029,0.048
10146,0.03,0.038
10147,0.03,0.076
10148,0.029,0.082
10149,0.034,0.076
10150,0.035,0.065
10151,0.171,0.047
10152,0.064,0.068
