time_idx,Real,predict
9985,0.209,0.236
9986,0.106,0.177
9987,0.108,0.145
9988,0.104,0.184
9989,0.076,0.188
9990,0.08,0.198
9991,0.089,0.219
9992,0.074,0.221
9993,0.074,0.152
9994,0.075,0.081
9995,0.122,0.09
9996,0.137,0.121
9997,0.074,0.091
9998,0.074,0.082
9999,0.23,0.085
10000,0.304,0.092
10001,0.166,0.102
10002,0.302,0.123
10003,0.221,0.268
10004,0.405,0.261
10005,0.171,0.276
10006,0.247,0.26
10007,0.314,0.206
10008,0.272,0.125
10009,0.255,0.077
10010,0.086,0.084
10011,0.077,0.076
10012,0.076,0.074
10013,0.075,0.076
10014,0.256,0.084
10015,0.08,0.074
10016,0.16,0.072
10017,0.134,0.075
10018,0.091,0.081
10019,0.076,0.078
10020,0.074,0.073
10021,0.635,0.069
10022,0.314,0.063
10023,0.885,0.065
10024,0.335,0.069
10025,0.365,0.071
10026,0.271,0.077
10027,0.381,0.099
10028,0.298,0.124
10029,0.277,0.227
10030,0.277,0.256
10031,0.289,0.247
10032,0.293,0.235
10033,0.291,0.188
10034,0.296,0.19
10035,0.293,0.185
10036,0.131,0.114
10037,0.079,0.081
10038,0.078,0.074
10039,0.078,0.074
10040,0.078,0.069
10041,0.077,0.072
10042,0.267,0.074
10043,0.198,0.074
10044,0.299,0.084
10045,0.079,0.102
10046,0.084,0.112
10047,0.21,0.21
10048,0.377,0.179
10049,0.256,0.193
10050,0.296,0.139
10051,0.414,0.098
10052,0.274,0.084
10053,0.285,0.084
10054,0.263,0.084
10055,0.186,0.077
10056,0.117,0.073
10057,0.109,0.072
10058,0.086,0.071
10059,0.085,0.071
10060,0.084,0.074
10061,0.083,0.073
10062,0.21,0.07
10063,0.083,0.067
10064,0.072,0.069
10065,0.071,0.065
10066,0.072,0.067
10067,0.084,0.071
10068,0.083,0.07
10069,0.742,0.066
10070,0.205,0.076
10071,0.081,0.098
10072,0.08,0.089
10073,0.082,0.074
10074,0.125,0.131
10075,0.4,0.226
10076,0.413,0.261
10077,0.276,0.244
10078,0.342,0.236
10079,0.174,0.18
10080,0.084,0.186
10081,0.081,0.192
10082,0.08,0.145
10083,0.078,0.081
10084,0.081,0.076
10085,0.08,0.073
10086,0.231,0.072
10087,0.085,0.071
10088,0.081,0.075
10089,0.079,0.078
10090,0.08,0.078
10091,0.081,0.103
10092,0.073,0.115
10093,0.072,0.223
10094,0.072,0.177
10095,0.073,0.209
10096,0.081,0.14
10097,0.079,0.094
10098,0.149,0.081
10099,0.148,0.081
10100,0.5,0.091
10101,0.302,0.078
10102,0.35,0.073
10103,0.094,0.072
10104,0.078,0.071
10105,0.076,0.071
10106,0.075,0.073
10107,0.076,0.07
10108,0.14,0.069
10109,0.101,0.069
10110,0.275,0.072
10111,0.088,0.065
10112,0.077,0.067
10113,0.079,0.072
10114,0.08,0.07
10115,0.08,0.066
10116,0.073,0.075
10117,0.072,0.101
10118,0.071,0.092
10119,0.074,0.075
10120,0.079,0.162
10121,0.079,0.342
10122,0.112,0.264
10123,0.228,0.241
10124,0.557,0.19
10125,0.303,0.124
10126,0.29,0.082
10127,0.183,0.082
10128,0.076,0.085
10129,0.074,0.076
10130,0.074,0.077
10131,0.081,0.078
10132,0.08,0.08
10133,0.081,0.074
10134,0.206,0.08
10135,0.086,0.086
10136,0.08,0.087
10137,0.072,0.08
10138,0.114,0.078
10139,0.102,0.065
10140,0.08,0.068
10141,0.078,0.073
10142,0.08,0.072
10143,0.079,0.072
10144,0.082,0.08
10145,0.079,0.125
10146,0.118,0.253
10147,0.213,0.329
10148,0.445,0.297
10149,0.438,0.27
10150,0.286,0.211
10151,0.122,0.1
10152,0.035,0.076
