time_idx,Real,predict
9985,0.555,0.624
9986,0.588,0.556
9987,0.398,0.54
9988,0.163,0.234
9989,0.159,0.145
9990,0.176,0.176
9991,0.139,0.168
9992,0.176,0.175
9993,0.21,0.147
9994,0.614,0.133
9995,0.293,0.119
9996,0.581,0.467
9997,0.222,0.343
9998,0.125,0.227
9999,0.094,0.195
10000,0.099,0.186
10001,0.431,0.338
10002,0.563,0.567
10003,0.677,0.579
10004,0.66,0.778
10005,0.713,0.63
10006,0.704,0.629
10007,0.742,0.587
10008,0.679,0.574
10009,0.633,0.551
10010,0.575,0.517
10011,0.425,0.221
10012,0.409,0.141
10013,0.111,0.226
10014,0.128,0.159
10015,0.111,0.118
10016,0.123,0.142
10017,0.127,0.136
10018,0.598,0.14
10019,0.246,0.357
10020,0.495,0.418
10021,0.696,0.744
10022,0.586,0.622
10023,0.436,0.683
10024,0.416,0.601
10025,0.452,0.489
10026,0.507,0.545
10027,0.71,0.575
10028,0.495,0.628
10029,0.499,0.515
10030,0.612,0.622
10031,0.614,0.639
10032,0.623,0.671
10033,0.341,0.556
10034,0.12,0.084
10035,0.095,0.105
10036,0.104,0.08
10037,0.117,0.093
10038,0.111,0.091
10039,0.118,0.114
10040,0.205,0.153
10041,0.165,0.145
10042,0.157,0.083
10043,0.238,0.365
10044,0.445,0.427
10045,0.575,0.663
10046,0.98,0.552
10047,0.53,0.535
10048,0.522,0.536
10049,0.527,0.474
10050,0.551,0.63
10051,0.637,0.583
10052,0.637,0.675
10053,0.604,0.46
10054,0.545,0.662
10055,0.495,0.503
10056,0.553,0.499
10057,0.384,0.542
10058,0.147,0.486
10059,0.136,0.152
10060,0.125,0.107
10061,0.118,0.11
10062,0.128,0.128
10063,0.126,0.128
10064,0.177,0.189
10065,0.167,0.163
10066,0.165,0.077
10067,0.434,0.124
10068,0.723,0.639
10069,0.175,0.27
10070,0.469,0.206
10071,0.41,0.214
10072,0.413,0.317
10073,0.487,0.473
10074,0.564,0.514
10075,0.573,0.754
10076,0.587,0.55
10077,0.768,0.692
10078,0.637,0.62
10079,0.599,0.626
10080,0.586,0.567
10081,0.562,0.544
10082,0.128,0.517
10083,0.114,0.144
10084,0.135,0.149
10085,0.105,0.138
10086,0.165,0.269
10087,0.185,0.071
10088,0.248,0.197
10089,0.223,0.182
10090,0.129,0.112
10091,0.175,0.133
10092,0.419,0.334
10093,0.119,0.178
10094,0.124,0.156
10095,0.105,0.166
10096,0.258,0.31
10097,0.364,0.474
10098,0.534,0.496
10099,0.819,0.698
10100,0.64,0.658
10101,0.698,0.629
10102,0.745,0.616
10103,0.526,0.592
10104,0.505,0.574
10105,0.602,0.578
10106,0.198,0.287
10107,0.124,0.141
10108,0.114,0.165
10109,0.125,0.156
10110,0.139,0.204
10111,0.165,0.139
10112,0.25,0.126
10113,0.237,0.134
10114,0.163,0.634
10115,0.52,0.321
10116,0.158,0.172
10117,0.329,0.115
10118,0.142,0.114
10119,0.096,0.184
10120,0.3,0.306
10121,0.414,0.452
10122,0.632,0.554
10123,0.886,0.695
10124,0.732,0.624
10125,0.579,0.618
10126,0.536,0.613
10127,0.595,0.596
10128,0.572,0.611
10129,0.559,0.623
10130,0.298,0.629
10131,0.138,0.226
10132,0.117,0.164
10133,0.151,0.156
10134,0.352,0.288
10135,0.18,0.044
10136,0.236,0.241
10137,0.182,0.189
10138,0.109,0.09
10139,0.158,0.142
10140,0.491,0.241
10141,0.117,0.112
10142,0.132,0.292
10143,0.119,0.197
10144,0.303,0.302
10145,0.376,0.462
10146,0.521,0.717
10147,0.795,0.704
10148,0.624,0.57
10149,0.753,0.585
10150,0.711,0.588
10151,0.677,0.594
10152,0.252,0.635
