time_idx,Real,predict
9985,0.068,0.065
9986,0.067,0.068
9987,0.066,0.066
9988,0.066,0.064
9989,0.065,0.068
9990,0.077,0.084
9991,0.176,0.162
9992,0.386,0.408
9993,0.46,0.378
9994,0.166,0.232
9995,0.115,0.121
9996,0.069,0.066
9997,0.07,0.065
9998,0.068,0.068
9999,0.069,0.066
10000,0.067,0.065
10001,0.064,0.066
10002,0.065,0.083
10003,0.278,0.167
10004,0.454,0.436
10005,0.619,0.37
10006,0.287,0.226
10007,0.115,0.117
10008,0.067,0.066
10009,0.067,0.065
10010,0.066,0.068
10011,0.066,0.066
10012,0.066,0.065
10013,0.066,0.066
10014,0.077,0.083
10015,0.175,0.169
10016,0.276,0.442
10017,0.649,0.367
10018,0.345,0.222
10019,0.242,0.113
10020,0.077,0.066
10021,0.076,0.065
10022,0.072,0.068
10023,0.135,0.066
10024,0.075,0.065
10025,0.07,0.066
10026,0.401,0.085
10027,0.394,0.173
10028,0.336,0.451
10029,0.389,0.363
10030,0.49,0.217
10031,0.116,0.107
10032,0.072,0.065
10033,0.069,0.066
10034,0.07,0.068
10035,0.069,0.065
10036,0.066,0.065
10037,0.066,0.067
10038,0.074,0.086
10039,0.173,0.179
10040,0.388,0.463
10041,0.389,0.358
10042,0.128,0.211
10043,0.064,0.099
10044,0.072,0.065
10045,0.117,0.066
10046,0.211,0.068
10047,0.147,0.065
10048,0.077,0.065
10049,0.236,0.067
10050,0.108,0.089
10051,0.295,0.186
10052,0.469,0.473
10053,0.472,0.353
10054,0.405,0.204
10055,0.563,0.092
10056,0.488,0.065
10057,0.075,0.066
10058,0.073,0.068
10059,0.071,0.065
10060,0.07,0.065
10061,0.068,0.068
10062,0.081,0.094
10063,0.381,0.196
10064,0.603,0.479
10065,0.072,0.349
10066,0.068,0.198
10067,0.069,0.085
10068,0.07,0.065
10069,0.071,0.067
10070,0.07,0.068
10071,0.069,0.065
10072,0.069,0.065
10073,0.068,0.069
10074,0.067,0.099
10075,0.132,0.207
10076,0.658,0.479
10077,0.374,0.346
10078,0.245,0.193
10079,0.107,0.08
10080,0.069,0.065
10081,0.069,0.067
10082,0.069,0.068
10083,0.068,0.065
10084,0.069,0.065
10085,0.069,0.07
10086,0.078,0.106
10087,0.391,0.219
10088,0.414,0.473
10089,0.088,0.343
10090,0.068,0.189
10091,0.07,0.076
10092,0.07,0.065
10093,0.072,0.068
10094,0.071,0.067
10095,0.07,0.065
10096,0.069,0.065
10097,0.066,0.071
10098,0.067,0.113
10099,0.534,0.232
10100,0.744,0.462
10101,0.419,0.338
10102,0.592,0.185
10103,0.468,0.073
10104,0.23,0.065
10105,0.069,0.068
10106,0.069,0.067
10107,0.068,0.065
10108,0.068,0.065
10109,0.067,0.073
10110,0.079,0.12
10111,0.63,0.246
10112,0.57,0.451
10113,0.098,0.332
10114,0.068,0.184
10115,0.072,0.072
10116,0.072,0.065
10117,0.069,0.068
10118,0.067,0.067
10119,0.068,0.065
10120,0.066,0.065
10121,0.066,0.073
10122,0.065,0.124
10123,0.132,0.258
10124,0.361,0.443
10125,0.407,0.326
10126,0.214,0.184
10127,0.117,0.072
10128,0.071,0.065
10129,0.071,0.068
10130,0.069,0.067
10131,0.068,0.065
10132,0.066,0.065
10133,0.067,0.074
10134,0.078,0.126
10135,0.457,0.265
10136,0.358,0.439
10137,0.067,0.322
10138,0.067,0.184
10139,0.427,0.072
10140,0.293,0.065
10141,0.317,0.068
10142,0.069,0.067
10143,0.07,0.065
10144,0.068,0.065
10145,0.066,0.074
10146,0.066,0.127
10147,0.132,0.268
10148,0.17,0.438
10149,0.159,0.321
10150,0.136,0.184
10151,0.211,0.072
10152,0.107,0.065
