time_idx,Real,predict
9985,0.109,0.254
9986,0.117,0.122
9987,0.102,0.114
9988,0.112,0.12
9989,0.178,0.122
9990,0.115,0.129
9991,0.119,0.123
9992,0.109,0.147
9993,0.156,0.155
9994,0.154,0.225
9995,0.255,0.2
9996,0.339,0.196
9997,0.245,0.22
9998,0.144,0.218
9999,0.192,0.261
10000,0.211,0.29
10001,0.164,0.395
10002,0.312,1.027
10003,0.734,0.495
10004,0.895,0.378
10005,0.545,0.425
10006,0.614,0.514
10007,0.502,0.42
10008,0.519,0.53
10009,0.198,0.255
10010,0.11,0.119
10011,0.119,0.109
10012,0.099,0.121
10013,0.118,0.127
10014,0.1,0.149
10015,0.113,0.147
10016,0.299,0.128
10017,0.297,0.146
10018,0.215,0.165
10019,0.16,0.142
10020,0.179,0.149
10021,0.19,0.188
10022,0.147,0.12
10023,0.21,0.104
10024,0.145,0.11
10025,0.165,0.116
10026,0.219,0.332
10027,0.921,0.471
10028,0.526,0.545
10029,0.473,0.546
10030,0.516,0.557
10031,0.552,0.574
10032,0.199,0.542
10033,0.112,0.283
10034,0.102,0.13
10035,0.179,0.116
10036,0.131,0.124
10037,0.166,0.136
10038,0.129,0.141
10039,0.115,0.124
10040,0.105,0.128
10041,0.218,0.159
10042,0.147,0.202
10043,0.147,0.23
10044,0.095,0.198
10045,0.144,0.214
10046,0.191,0.215
10047,0.225,0.252
10048,0.161,0.279
10049,0.159,0.396
10050,1.045,1.01
10051,0.466,0.494
10052,0.457,0.385
10053,0.498,0.428
10054,0.522,0.513
10055,0.581,0.426
10056,0.302,0.536
10057,0.108,0.266
10058,0.115,0.12
10059,0.102,0.109
10060,0.115,0.121
10061,0.105,0.126
10062,0.173,0.146
10063,0.108,0.145
10064,0.104,0.13
10065,0.177,0.142
10066,0.143,0.162
10067,0.129,0.139
10068,0.183,0.152
10069,0.147,0.188
10070,0.105,0.121
10071,0.161,0.104
10072,0.154,0.11
10073,0.184,0.115
10074,0.112,0.336
10075,0.485,0.473
10076,0.271,0.543
10077,0.111,0.552
10078,0.154,0.553
10079,0.572,0.582
10080,0.473,0.541
10081,0.151,0.257
10082,0.101,0.129
10083,0.118,0.117
10084,0.102,0.122
10085,0.116,0.15
10086,0.106,0.151
10087,0.109,0.128
10088,0.163,0.115
10089,0.194,0.168
10090,0.181,0.175
10091,0.16,0.243
10092,0.204,0.201
10093,0.163,0.208
10094,0.193,0.215
10095,0.153,0.241
10096,0.149,0.234
10097,0.124,0.361
10098,1.081,1.05
10099,0.474,0.492
10100,0.486,0.383
10101,0.469,0.436
10102,0.579,0.509
10103,0.488,0.423
10104,0.479,0.529
10105,0.202,0.277
10106,0.131,0.121
10107,0.14,0.112
10108,0.188,0.12
10109,0.269,0.122
10110,0.301,0.145
10111,0.183,0.148
10112,0.092,0.132
10113,0.164,0.149
10114,0.75,0.167
10115,0.255,0.141
10116,0.233,0.152
10117,0.137,0.189
10118,0.114,0.124
10119,0.117,0.104
10120,0.111,0.11
10121,0.301,0.113
10122,1.184,0.332
10123,0.511,0.474
10124,0.633,0.543
10125,0.507,0.551
10126,0.475,0.557
10127,0.662,0.577
10128,0.465,0.543
10129,0.255,0.28
10130,0.113,0.13
10131,0.103,0.116
10132,0.112,0.123
10133,0.115,0.138
10134,0.164,0.144
10135,0.161,0.124
10136,0.12,0.122
10137,0.147,0.162
10138,0.153,0.185
10139,0.126,0.24
10140,0.118,0.195
10141,0.092,0.213
10142,0.11,0.208
10143,0.099,0.265
10144,0.197,0.287
10145,0.198,0.366
10146,0.292,1.064
10147,0.562,0.493
10148,0.522,0.362
10149,0.517,0.409
10150,0.551,0.522
10151,0.501,0.425
10152,0.344,0.52
