,House_Hold,MAE_variation_bool,SMAPE_variation_bool,RMSE_variation_bool
0,ESTABLISHEDAFFLUENCE_BLOCK_28_MAC004895,6,6,6
0,STRETCHEDSOCIETY_BLOCK_110_MAC002175,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_13_MAC005411,6,5,3
0,ESTABLISHEDAFFLUENCE_BLOCK_23_MAC000164,6,2,6
0,ESTABLISHEDAFFLUENCE_BLOCK_34_MAC002265,6,6,2
0,ESTABLISHEDAFFLUENCE_BLOCK_22_MAC004736,6,6,5
0,STRETCHEDSOCIETY_BLOCK_95_MAC004066,6,3,4
0,ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001905,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_34_MAC001452,6,6,6
0,STRETCHEDSOCIETY_BLOCK_95_MAC000365,6,6,6
0,STRETCHEDSOCIETY_BLOCK_109_MAC000529,6,6,6
0,ESTABLISHEDAFFLUENCE_BLOCK_39_MAC001651,6,6,6
0,STRETCHEDSOCIETY_BLOCK_98_MAC004934,5,4,6
0,ESTABLISHEDAFFLUENCE_BLOCK_23_MAC004625,5,5,3
0,ESTABLISHEDAFFLUENCE_BLOCK_28_MAC004904,5,6,5
0,ESTABLISHEDAFFLUENCE_BLOCK_30_MAC000274,5,5,5
0,ESTABLISHEDAFFLUENCE_BLOCK_28_MAC005217,5,6,3
0,STRETCHEDSOCIETY_BLOCK_106_MAC000077,4,5,3
0,ESTABLISHEDAFFLUENCE_BLOCK_40_MAC005359,4,4,3
0,STRETCHEDSOCIETY_BLOCK_109_MAC002196,4,5,5
0,STRETCHEDSOCIETY_BLOCK_105_MAC002054,4,4,4
0,STRETCHEDSOCIETY_BLOCK_106_MAC002318,4,5,4
0,STRETCHEDSOCIETY_BLOCK_109_MAC002293,4,4,1
0,STRETCHEDSOCIETY_BLOCK_102_MAC003964,4,4,0
0,ESTABLISHEDAFFLUENCE_BLOCK_10_MAC001221,4,4,4
0,ESTABLISHEDAFFLUENCE_BLOCK_19_MAC005566,3,4,1
0,ESTABLISHEDAFFLUENCE_BLOCK_16_MAC002096,3,5,3
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC004926,3,3,6
0,ESTABLISHEDAFFLUENCE_BLOCK_27_MAC005235,3,2,3
0,STRETCHEDSOCIETY_BLOCK_107_MAC001672,3,1,3
0,STRETCHEDSOCIETY_BLOCK_107_MAC001785,3,3,2
0,ESTABLISHEDAFFLUENCE_BLOCK_37_MAC000782,3,3,2
0,STRETCHEDSOCIETY_BLOCK_94_MAC004366,3,3,3
0,STRETCHEDSOCIETY_BLOCK_100_MAC002856,3,3,0
0,STRETCHEDSOCIETY_BLOCK_104_MAC004395,2,2,4
0,STRETCHEDSOCIETY_BLOCK_107_MAC001744,2,3,0
0,STRETCHEDSOCIETY_BLOCK_102_MAC003980,2,2,2
0,STRETCHEDSOCIETY_BLOCK_96_MAC001188,2,5,2
0,ESTABLISHEDAFFLUENCE_BLOCK_31_MAC001378,2,1,5
0,STRETCHEDSOCIETY_BLOCK_91_MAC001165,2,6,6
0,STRETCHEDSOCIETY_BLOCK_107_MAC001673,2,1,2
0,ESTABLISHEDAFFLUENCE_BLOCK_40_MAC000459,2,2,1
0,ESTABLISHEDAFFLUENCE_BLOCK_33_MAC000351,2,3,0
0,ESTABLISHEDAFFLUENCE_BLOCK_25_MAC003004,2,2,2
0,STRETCHEDSOCIETY_BLOCK_100_MAC002775,2,2,4
0,STRETCHEDSOCIETY_BLOCK_102_MAC004129,2,2,4
0,STRETCHEDSOCIETY_BLOCK_100_MAC002824,2,2,5
0,ESTABLISHEDAFFLUENCE_BLOCK_18_MAC005491,1,2,1
0,STRETCHEDSOCIETY_BLOCK_95_MAC000006,1,1,1
0,ESTABLISHEDAFFLUENCE_BLOCK_21_MAC004390,1,1,2
0,ESTABLISHEDAFFLUENCE_BLOCK_37_MAC000861,1,1,2
0,STRETCHEDSOCIETY_BLOCK_108_MAC005528,1,0,2
0,ESTABLISHEDAFFLUENCE_BLOCK_32_MAC002686,1,0,2
0,STRETCHEDSOCIETY_BLOCK_106_MAC000653,1,2,0
0,STRETCHEDSOCIETY_BLOCK_99_MAC004799,0,0,0
0,ESTABLISHEDAFFLUENCE_BLOCK_17_MAC002007,0,3,0
0,STRETCHEDSOCIETY_BLOCK_99_MAC004771,0,5,0
0,STRETCHEDSOCIETY_BLOCK_93_MAC004547,0,0,0
0,ESTABLISHEDAFFLUENCE_BLOCK_26_MAC002966,0,0,0
0,STRETCHEDSOCIETY_BLOCK_106_MAC001460,0,1,6
0,ESTABLISHEDAFFLUENCE_BLOCK_10_MAC002036,0,2,0
0,STRETCHEDSOCIETY_BLOCK_104_MAC004481,0,1,3
0,STRETCHEDSOCIETY_BLOCK_98_MAC001062,0,0,0
